Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 18.249, relres: 0.232939, relerr: 1.03709
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 18.5189, relres: 0.287784, relerr: 1.34407
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 18.5675, relres: 0.294898, relerr: 1.48715
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 19.1798, relres: 0.25356, relerr: 1.36846
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 19.2468, relres: 0.255116, relerr: 1.31326
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 19.3054, relres: 0.26729, relerr: 1.30528
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 18.0434, relres: 0.287942, relerr: 1.50783
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 18.0175, relres: 0.256882, relerr: 1.32999
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 18.3503, relres: 0.25814, relerr: 1.40019
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 18.1352, relres: 0.293965, relerr: 1.44275
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 18.1755, relres: 0.291547, relerr: 1.43533
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.255, relres: 0.272663, relerr: 1.36154
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 16.8, relres: 0.241677, relerr: 1.12345
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 18.4777, relres: 0.246857, relerr: 0.937575
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 18.0227, relres: 0.301329, relerr: 1.43793
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.1547, relres: 0.210362, relerr: 0.731292
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.4023, relres: 0.286013, relerr: 1.40615
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.2154, relres: 0.211843, relerr: 0.952718
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 16.7637, relres: 0.297915, relerr: 1.16292
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 16.8649, relres: 0.284759, relerr: 1.36729
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.4223, relres: 0.283926, relerr: 1.29251
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.1233, relres: 0.269895, relerr: 1.17495
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.0482, relres: 0.27386, relerr: 1.21017
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.1375, relres: 0.246079, relerr: 1.36985
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 16.9531, relres: 0.262084, relerr: 1.25225
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.1761, relres: 0.318886, relerr: 1.45954
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.267, relres: 0.284518, relerr: 1.34163
Kaczmarz -> cdp, rand_init, n: 256, m: 768, iter: 500, t: 17.0755, relres: 0.276651, relerr: 1.48671
