Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.237249, relres: 0.241083, relerr: 1.26789
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.22119, relres: 0.288244, relerr: 1.46463
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.171984, relres: 0.187472, relerr: 1.56068
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.191445, relres: 0.150659, relerr: 1.40893
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.242327, relres: 0.133327, relerr: 1.33504
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.240906, relres: 0.16781, relerr: 1.48609
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.175814, relres: 0.191351, relerr: 1.39266
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.174022, relres: 0.352201, relerr: 1.4153
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.174214, relres: 0.181064, relerr: 1.396
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.172391, relres: 0.243113, relerr: 1.49033
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.173301, relres: 0.271725, relerr: 1.47583
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.215856, relres: 0.311366, relerr: 1.3727
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.17213, relres: 0.267866, relerr: 1.33647
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.175073, relres: 0.190185, relerr: 1.47453
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.174061, relres: 0.267322, relerr: 1.5276
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.173176, relres: 0.190195, relerr: 1.32763
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.173415, relres: 0.26272, relerr: 1.4691
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.216581, relres: 0.230377, relerr: 1.36882
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.172655, relres: 0.208475, relerr: 1.44234
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.218173, relres: 0.173246, relerr: 1.41613
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.174305, relres: 0.159998, relerr: 1.27442
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.222066, relres: 0.290981, relerr: 1.35683
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.224617, relres: 0.17276, relerr: 1.38359
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.174694, relres: 0.247593, relerr: 1.47935
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.18301, relres: 0.232915, relerr: 1.45977
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.174807, relres: 0.178845, relerr: 1.47213
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.174727, relres: 0.206803, relerr: 1.49241
Block Kaczmarz-128 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.173925, relres: 0.300562, relerr: 1.38328
