Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 202, t: 6.54858, relres: 6.36418e-09, relerr: 2.15443e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.4842, relres: 0.171627, relerr: 0.677374
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.1399, relres: 0.0243671, relerr: 0.0652213
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 220, t: 6.80603, relres: 2.69595e-08, relerr: 8.16119e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.199, relres: 0.186393, relerr: 0.821862
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.3393, relres: 1.7692e-08, relerr: 5.45746e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 164, t: 5.04033, relres: 2.36063e-08, relerr: 7.35681e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.0598, relres: 0.216349, relerr: 0.881988
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.2144, relres: 0.255739, relerr: 1.07126
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 383, t: 11.6941, relres: 1.93595e-08, relerr: 6.1022e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 124, t: 4.07435, relres: 2.7142e-08, relerr: 9.20717e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.0994, relres: 0.203893, relerr: 0.743688
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.1834, relres: 0.167219, relerr: 0.780143
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.2035, relres: 0.0064564, relerr: 0.018551
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.9976, relres: 0.218233, relerr: 0.850404
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 348, t: 10.784, relres: 9.3838e-09, relerr: 3.18622e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 403, t: 12.3068, relres: 1.65832e-08, relerr: 5.77539e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 297, t: 9.13966, relres: 2.40053e-08, relerr: 7.37211e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.1988, relres: 0.250305, relerr: 1.08412
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 152, t: 4.69707, relres: 1.45926e-08, relerr: 4.83377e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.1333, relres: 0.215516, relerr: 1.00591
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.0495, relres: 0.297036, relerr: 1.2208
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 356, t: 11.1351, relres: 1.43436e-08, relerr: 4.25717e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.1396, relres: 0.255221, relerr: 1.4006
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 16.1627, relres: 1.72793e-06, relerr: 5.23429e-06
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.1192, relres: 0.0019946, relerr: 0.00673016
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 165, t: 5.06958, relres: 2.09782e-08, relerr: 6.72001e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 193, t: 5.91684, relres: 2.16624e-08, relerr: 8.16212e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.095, relres: 0.289424, relerr: 1.2995
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.8119, relres: 0.247282, relerr: 1.10843
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 352, t: 10.9817, relres: 2.10702e-08, relerr: 7.14941e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 379, t: 11.6687, relres: 9.06864e-09, relerr: 2.87544e-08
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.6102, relres: 0.279543, relerr: 1.23171
Kaczmarz -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 15.6048, relres: 0.261744, relerr: 1.25388
