Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.301135, relres: 0.219401, relerr: 1.25842
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.301383, relres: 0.213482, relerr: 1.4975
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.451455, relres: 0.610147, relerr: 1.40693
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.462367, relres: 0.516186, relerr: 1.26187
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.462687, relres: 0.469109, relerr: 1.11124
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.46587, relres: 0.571119, relerr: 1.44025
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.466365, relres: 0.525836, relerr: 1.37898
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.465077, relres: 0.446814, relerr: 1.17454
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.55599, relres: 0.502661, relerr: 1.05616
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.468126, relres: 0.452046, relerr: 1.1434
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.463607, relres: 0.444589, relerr: 1.17387
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.467063, relres: 0.500489, relerr: 1.32248
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.455844, relres: 0.545415, relerr: 1.46499
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.451074, relres: 0.518576, relerr: 1.3572
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.461782, relres: 0.521548, relerr: 1.27691
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.462656, relres: 0.454798, relerr: 1.35569
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.568647, relres: 0.532564, relerr: 1.42104
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.637645, relres: 0.359645, relerr: 0.859896
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.465879, relres: 0.52413, relerr: 1.33166
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.461446, relres: 0.585543, relerr: 1.42009
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.465096, relres: 0.440748, relerr: 1.10613
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.464869, relres: 0.485768, relerr: 1.29313
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.452801, relres: 0.456531, relerr: 1.06869
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.449058, relres: 0.529644, relerr: 1.18956
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.466105, relres: 0.550252, relerr: 1.39023
Block Kaczmarz-64 -> cdp, eig_init, n: 256, m: 768, iter: 500, t: 0.470413, relres: 0.493749, relerr: 1.31397
