GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.497092, relres: 0.16774, relerr: 0.936161
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.497162, relres: 0.00779362, relerr: 0.0282759
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.503581, relres: 0.17228, relerr: 1.09371
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.497973, relres: 0.152121, relerr: 1.04942
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2111, t: 0.419696, relres: 9.92469e-09, relerr: 4.56847e-08
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.500429, relres: 0.180681, relerr: 1.10581
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.50294, relres: 0.18165, relerr: 1.23939
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.501606, relres: 0.117077, relerr: 0.530255
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.496899, relres: 1.25704e-05, relerr: 5.64025e-05
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.499876, relres: 0.188835, relerr: 1.25335
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.498024, relres: 0.126914, relerr: 0.77113
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.500108, relres: 0.1797, relerr: 1.22884
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.605344, relres: 0.135313, relerr: 0.747196
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 1108, t: 0.227404, relres: 9.74706e-09, relerr: 4.75526e-08
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.499225, relres: 0.183214, relerr: 1.19008
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.565278, relres: 0.158818, relerr: 0.823693
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.507471, relres: 0.173043, relerr: 1.06321
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 1300, t: 0.256509, relres: 9.91272e-09, relerr: 4.51623e-08
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.50753, relres: 0.134327, relerr: 0.82831
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.512033, relres: 0.160608, relerr: 0.991818
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.498736, relres: 0.103964, relerr: 0.444321
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.5016, relres: 0.183403, relerr: 1.30371
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.498711, relres: 0.152041, relerr: 0.816167
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.497423, relres: 0.130834, relerr: 0.755103
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 891, t: 0.182978, relres: 9.87307e-09, relerr: 4.27857e-08
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.519408, relres: 0.138677, relerr: 0.865363
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.504258, relres: 0.191759, relerr: 1.31428
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.498003, relres: 0.188278, relerr: 1.11522
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 1189, t: 0.235144, relres: 9.70785e-09, relerr: 4.87247e-08
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.499227, relres: 0.172375, relerr: 0.915333
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.494684, relres: 0.190026, relerr: 1.18989
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.496524, relres: 0.184454, relerr: 1.45633
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 795, t: 0.19321, relres: 9.92869e-09, relerr: 4.90511e-08
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.631446, relres: 0.195145, relerr: 1.16752
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 977, t: 0.193617, relres: 9.94292e-09, relerr: 4.42182e-08
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.498895, relres: 0.138774, relerr: 0.800137
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.502087, relres: 0.188949, relerr: 1.03501
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.529496, relres: 0.183693, relerr: 1.07276
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.500957, relres: 0.188699, relerr: 1.27476
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.534352, relres: 0.147971, relerr: 0.8527
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.587927, relres: 0.182454, relerr: 1.09473
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 756, t: 0.180577, relres: 9.98897e-09, relerr: 4.69166e-08
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 989, t: 0.203832, relres: 9.78246e-09, relerr: 4.87347e-08
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.497537, relres: 0.175969, relerr: 1.12337
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 831, t: 0.164513, relres: 9.83539e-09, relerr: 4.64825e-08
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.496658, relres: 0.149732, relerr: 0.88902
GerSax -> cdp, eig_init, n: 256, m: 768, iter: 2500, t: 0.61713, relres: 0.195861, relerr: 1.06936
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 462, t: 0.112364, relres: 9.90248e-09, relerr: 2.84605e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 301, t: 0.073289, relres: 9.53205e-09, relerr: 2.86347e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 551, t: 0.130229, relres: 9.34377e-09, relerr: 2.59671e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 240, t: 0.057727, relres: 9.55167e-09, relerr: 2.79791e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 286, t: 0.079384, relres: 9.65902e-09, relerr: 2.71628e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 235, t: 0.05696, relres: 9.61827e-09, relerr: 2.85114e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 2500, t: 0.597616, relres: 0.299095, relerr: 1.30141
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 226, t: 0.053471, relres: 9.25913e-09, relerr: 2.70314e-08
GerSax -> cdp, eig_init, n: 256, m: 1024, iter: 318, t: 0.09781, relres: 9.93798e-09, relerr: 2.78896e-08
