Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.790138, relres: 0.232826, relerr: 1.37542
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.697482, relres: 0.321245, relerr: 1.46787
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.610086, relres: 0.200144, relerr: 1.42359
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.689784, relres: 0.176296, relerr: 1.35336
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.620916, relres: 0.130952, relerr: 1.29428
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.608762, relres: 0.229917, relerr: 1.48877
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.709631, relres: 0.234124, relerr: 1.42449
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.597045, relres: 0.201099, relerr: 1.47783
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.586903, relres: 0.219021, relerr: 1.50215
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.590377, relres: 0.198055, relerr: 1.36073
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.587258, relres: 0.203892, relerr: 1.43807
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.673432, relres: 0.251317, relerr: 1.36936
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.687478, relres: 0.237425, relerr: 1.28606
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.595359, relres: 0.173456, relerr: 1.51013
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.677914, relres: 0.199439, relerr: 1.49095
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.603812, relres: 0.237356, relerr: 1.31929
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.683352, relres: 0.223495, relerr: 1.46498
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.700439, relres: 0.170751, relerr: 1.4306
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.707185, relres: 0.253747, relerr: 1.39332
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.713666, relres: 0.16499, relerr: 1.35958
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.671723, relres: 0.234904, relerr: 1.37968
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.700794, relres: 0.245985, relerr: 1.383
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.72472, relres: 0.186637, relerr: 1.50703
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.59703, relres: 0.262706, relerr: 1.4619
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.62794, relres: 0.217819, relerr: 1.33444
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.60577, relres: 0.165942, relerr: 1.25992
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.603489, relres: 0.231096, relerr: 1.48737
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.594523, relres: 0.264849, relerr: 1.35495
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.620311, relres: 0.175573, relerr: 1.42772
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.706463, relres: 0.293844, relerr: 1.36731
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.677838, relres: 0.207933, relerr: 1.49991
Block Kaczmarz-32 -> cdp, eig_init, n: 256, m: 512, iter: 500, t: 0.618999, relres: 0.271593, relerr: 1.34874
