GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.498997, relres: 0.225925, relerr: 1.30935
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.532442, relres: 0.204773, relerr: 1.34996
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.538872, relres: 0.171737, relerr: 1.14459
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.530497, relres: 0.187293, relerr: 1.16969
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.498722, relres: 0.204631, relerr: 1.37034
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.493923, relres: 0.223137, relerr: 1.46985
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.492674, relres: 0.190084, relerr: 1.44229
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.498098, relres: 0.203502, relerr: 1.31873
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.497307, relres: 0.187546, relerr: 1.23564
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.496012, relres: 0.182615, relerr: 1.43356
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.491903, relres: 0.184504, relerr: 1.23883
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.524733, relres: 0.20245, relerr: 1.27005
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.561562, relres: 0.179071, relerr: 1.02012
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.510028, relres: 0.205265, relerr: 1.28079
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.546184, relres: 0.202625, relerr: 1.37569
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.508087, relres: 0.196115, relerr: 1.43313
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.504657, relres: 0.212415, relerr: 1.45492
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.515714, relres: 0.208409, relerr: 1.3747
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.563962, relres: 0.198422, relerr: 1.32105
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.518078, relres: 0.17967, relerr: 1.33902
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.506167, relres: 0.183046, relerr: 1.30246
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.56056, relres: 0.189701, relerr: 1.45002
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.578723, relres: 0.194232, relerr: 1.24251
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.54401, relres: 0.206842, relerr: 1.4065
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.568984, relres: 0.215366, relerr: 1.3747
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.535874, relres: 0.202139, relerr: 1.42445
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.58019, relres: 0.198416, relerr: 1.40657
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.592203, relres: 0.19131, relerr: 1.34185
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.522515, relres: 0.187198, relerr: 1.38142
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.539692, relres: 0.185251, relerr: 1.39127
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.525449, relres: 0.200306, relerr: 1.25225
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.539394, relres: 0.193493, relerr: 1.32268
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.526333, relres: 0.193008, relerr: 1.37982
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.512409, relres: 0.177197, relerr: 1.38965
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.626525, relres: 0.153505, relerr: 0.998313
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.567696, relres: 0.208927, relerr: 1.36697
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.500313, relres: 0.188768, relerr: 1.35382
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.500801, relres: 0.198331, relerr: 1.32614
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.571653, relres: 0.19266, relerr: 1.18899
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.526599, relres: 0.207012, relerr: 1.44032
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.569294, relres: 0.194371, relerr: 1.45409
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.613083, relres: 0.194221, relerr: 1.35262
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.554305, relres: 0.212061, relerr: 1.51614
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.529377, relres: 0.183448, relerr: 0.970795
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.517345, relres: 0.191517, relerr: 1.38
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.54116, relres: 0.180991, relerr: 1.18172
GerSax -> cdp, rand_init, n: 256, m: 768, iter: 2500, t: 0.585324, relres: 0.209127, relerr: 1.43209
