GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.09368, relres: 0.66618, relerr: 1.32463
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.00494, relres: 0.565622, relerr: 1.16384
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.3385, relres: 0.624336, relerr: 1.32677
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.04242, relres: 0.629693, relerr: 1.32791
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.07378, relres: 0.608657, relerr: 1.14169
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.08891, relres: 0.639005, relerr: 1.30413
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.01344, relres: 0.619622, relerr: 1.26603
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.03407, relres: 0.683561, relerr: 1.3106
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.07877, relres: 0.651618, relerr: 1.3314
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.02338, relres: 0.633792, relerr: 1.26817
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.04843, relres: 0.58571, relerr: 1.24467
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.02694, relres: 0.633196, relerr: 1.24125
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.12411, relres: 0.664966, relerr: 1.30438
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.0653, relres: 0.634824, relerr: 1.33958
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.11423, relres: 0.596935, relerr: 1.29852
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.03658, relres: 0.696635, relerr: 1.32287
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 0.996383, relres: 0.642175, relerr: 1.2926
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.12876, relres: 0.623539, relerr: 1.21135
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.06925, relres: 0.713329, relerr: 1.25455
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.21037, relres: 0.599581, relerr: 1.25012
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.32213, relres: 0.650903, relerr: 1.31204
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.04656, relres: 0.588295, relerr: 1.24395
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.11719, relres: 0.656976, relerr: 1.31031
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.05259, relres: 0.662062, relerr: 1.2721
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.11399, relres: 0.659861, relerr: 1.27681
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.06421, relres: 0.614845, relerr: 1.32779
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.02246, relres: 0.64896, relerr: 1.3048
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 0.983012, relres: 0.662871, relerr: 1.32314
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.00824, relres: 0.597903, relerr: 1.32919
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.07441, relres: 0.65844, relerr: 1.29975
GerSax -> unitary, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.0716, relres: 0.641742, relerr: 1.30656
