Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 20.2633, relres: 0.524958, relerr: 1.32467
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 20.4612, relres: 0.436636, relerr: 1.08751
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 512, iter: 500, t: 18.6114, relres: 0.568792, relerr: 1.2358
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.3956, relres: 0.424206, relerr: 0.829173
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.7117, relres: 0.57125, relerr: 1.20377
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.983, relres: 0.572523, relerr: 1.29864
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.3273, relres: 0.561988, relerr: 1.31554
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 22.3673, relres: 0.47156, relerr: 1.32493
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 21.0381, relres: 0.567852, relerr: 1.29008
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.9856, relres: 0.521741, relerr: 1.14611
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.4653, relres: 0.479044, relerr: 0.976952
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.2033, relres: 0.458396, relerr: 1.05856
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.3891, relres: 0.503859, relerr: 1.27179
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.6471, relres: 0.52835, relerr: 1.1528
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.9018, relres: 0.416536, relerr: 0.677237
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.9802, relres: 0.493553, relerr: 1.00802
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.8453, relres: 0.545077, relerr: 1.33468
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.2376, relres: 0.533952, relerr: 1.02146
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.7353, relres: 0.441668, relerr: 1.18605
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 21.4998, relres: 0.500675, relerr: 1.35528
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.5679, relres: 0.55346, relerr: 1.36177
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.8312, relres: 0.450792, relerr: 0.872925
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.4076, relres: 0.541244, relerr: 1.01419
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.0318, relres: 0.339763, relerr: 0.574361
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.7337, relres: 0.521222, relerr: 1.35431
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.7778, relres: 0.538395, relerr: 1.30614
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.4352, relres: 0.487373, relerr: 0.818081
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.8013, relres: 0.497137, relerr: 1.28644
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.0532, relres: 0.480893, relerr: 1.29679
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.6094, relres: 0.500392, relerr: 1.20776
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 19.9604, relres: 0.541367, relerr: 1.15866
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.2532, relres: 0.547746, relerr: 1.12375
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 21.5145, relres: 0.476055, relerr: 1.03402
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 23.7462, relres: 0.489721, relerr: 1.25502
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 20.7505, relres: 0.496968, relerr: 1.0368
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 21.8481, relres: 0.600805, relerr: 1.41099
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 21.0687, relres: 0.552934, relerr: 1.37169
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 21.3863, relres: 0.426306, relerr: 1.20678
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 22.0071, relres: 0.585409, relerr: 1.21591
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 24.5209, relres: 0.51136, relerr: 1.37252
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 21.8797, relres: 0.429942, relerr: 0.922579
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 22.0438, relres: 0.526092, relerr: 1.11647
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 21.8189, relres: 0.461263, relerr: 0.839644
Block Kaczmarz-256 -> unitary, real, eig_init, n: 256, m: 566, iter: 500, t: 22.1613, relres: 0.371028, relerr: 0.648307
