Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 55.8862, relres: 0.0288666, relerr: 1.28167
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 50.8782, relres: 0.0443074, relerr: 1.26229
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 52.2686, relres: 0.0210349, relerr: 1.1014
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 55.0596, relres: 0.0354759, relerr: 1.34953
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 512, iter: 500, t: 56.7979, relres: 0.0223097, relerr: 1.18813
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 55.7084, relres: 0.0884959, relerr: 1.332
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 53.9046, relres: 0.0853775, relerr: 1.32675
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 47.528, relres: 0.0826312, relerr: 1.22
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 47.5852, relres: 0.0792578, relerr: 1.27607
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 48.4173, relres: 0.0811006, relerr: 1.13982
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 47.7041, relres: 0.0706202, relerr: 1.14671
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.2108, relres: 0.0849121, relerr: 1.29416
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 50.2419, relres: 0.0719129, relerr: 1.13477
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 50.7096, relres: 0.0980635, relerr: 1.31241
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 58.2591, relres: 0.0809828, relerr: 1.31714
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 65.058, relres: 0.0976053, relerr: 1.12654
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 62.0416, relres: 0.0913773, relerr: 1.12629
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 53.4009, relres: 0.0824597, relerr: 1.2925
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.348, relres: 0.0732875, relerr: 1.22768
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.3018, relres: 0.0729878, relerr: 1.27346
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 53.5058, relres: 0.0698196, relerr: 1.22973
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 50.9278, relres: 0.0783424, relerr: 1.23804
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.2555, relres: 0.0892833, relerr: 1.26502
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 49.3205, relres: 0.0637323, relerr: 1.03086
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 49.8242, relres: 0.0807542, relerr: 1.1929
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.5206, relres: 0.0910133, relerr: 1.14703
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.3134, relres: 0.0851387, relerr: 1.2289
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 53.6755, relres: 0.0699755, relerr: 1.28343
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 49.7548, relres: 0.0795358, relerr: 1.28702
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.3843, relres: 0.0860865, relerr: 1.13466
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 50.9429, relres: 0.105979, relerr: 1.08787
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 52.6034, relres: 0.0881062, relerr: 1.1114
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 58.1446, relres: 0.068003, relerr: 1.18184
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 58.5916, relres: 0.0889487, relerr: 1.31917
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 58.4971, relres: 0.0834705, relerr: 1.27637
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 66.7898, relres: 0.0725483, relerr: 1.17153
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 53.2607, relres: 0.0749307, relerr: 1.29997
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 49.3945, relres: 0.0874749, relerr: 1.25232
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 52.2736, relres: 0.071961, relerr: 1.29062
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 48.2849, relres: 0.0786543, relerr: 1.20208
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 51.0983, relres: 0.0890697, relerr: 1.20494
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 53.1558, relres: 0.0855675, relerr: 1.14667
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 50.7943, relres: 0.0968569, relerr: 1.32376
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 58.7592, relres: 0.103033, relerr: 1.32764
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 61.6974, relres: 0.0880871, relerr: 1.1902
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 49.6773, relres: 0.0926509, relerr: 1.13168
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 54.15, relres: 0.0810767, relerr: 1.01936
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 54.9299, relres: 0.0740079, relerr: 1.27062
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 54.0084, relres: 0.104374, relerr: 1.22568
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 56.8912, relres: 0.0728726, relerr: 1.2148
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 50.8121, relres: 0.0845405, relerr: 1.31765
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 48.8529, relres: 0.0892618, relerr: 1.2168
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 56.5236, relres: 0.0847238, relerr: 1.08403
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 57.1149, relres: 0.0763895, relerr: 1.31462
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 566, iter: 500, t: 53.0224, relres: 0.0972597, relerr: 1.26777
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 58.7861, relres: 0.126816, relerr: 1.09526
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 55.4335, relres: 0.17303, relerr: 1.32679
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 60.7089, relres: 0.129374, relerr: 1.21812
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 57.783, relres: 0.12894, relerr: 1.19446
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 62.6808, relres: 0.135161, relerr: 1.26927
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 56.0774, relres: 0.126794, relerr: 1.34972
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 52.7147, relres: 0.122119, relerr: 1.19241
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 52.3276, relres: 0.147896, relerr: 1.18216
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 53.6334, relres: 0.113032, relerr: 1.18086
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 54.4042, relres: 0.125898, relerr: 1.17585
Block Kaczmarz-256 -> unitary, complex, eig_init, n: 256, m: 620, iter: 500, t: 56.3465, relres: 0.174992, relerr: 1.15474
