GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.61978, relres: 0.0586242, relerr: 1.38091
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.40175, relres: 0.0557842, relerr: 1.36111
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.04682, relres: 0.0569573, relerr: 1.25264
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 3.88218, relres: 0.0585392, relerr: 1.19758
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 3.94984, relres: 0.0707865, relerr: 1.10029
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.06763, relres: 0.0601007, relerr: 1.16209
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 3.97374, relres: 0.0569619, relerr: 1.29913
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.02133, relres: 0.0523933, relerr: 1.12301
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 3.84626, relres: 0.0631482, relerr: 1.18085
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.65663, relres: 0.0567274, relerr: 1.38344
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.91966, relres: 0.0621515, relerr: 1.11364
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 6.61876, relres: 0.0523124, relerr: 1.22326
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.2976, relres: 0.0567147, relerr: 1.3433
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.01125, relres: 0.0547117, relerr: 1.08965
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.27907, relres: 0.0778148, relerr: 1.23495
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.09128, relres: 0.0497937, relerr: 1.14353
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.16204, relres: 0.0572776, relerr: 1.23562
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.48206, relres: 0.0482014, relerr: 1.15239
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.38471, relres: 0.0435915, relerr: 1.07615
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.11239, relres: 0.0561164, relerr: 1.24082
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.52504, relres: 0.0786719, relerr: 1.24149
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.25285, relres: 0.0611134, relerr: 1.19333
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.4417, relres: 0.0538033, relerr: 1.19066
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.03219, relres: 0.0462867, relerr: 1.10204
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.11134, relres: 0.0633388, relerr: 1.21143
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.15913, relres: 0.0605821, relerr: 1.0841
GerSax -> unitary, complex, eig_init, n: 256, m: 566, iter: 2500, t: 4.39439, relres: 0.0647321, relerr: 1.26587
