GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.97138, relres: 0.0655963, relerr: 1.20117
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.8374, relres: 0.0703278, relerr: 1.27554
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.85904, relres: 0.0621456, relerr: 1.31826
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 6.23173, relres: 0.0783254, relerr: 1.22403
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.65272, relres: 0.0692293, relerr: 1.38109
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.27303, relres: 0.077913, relerr: 1.34538
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.31918, relres: 0.0554294, relerr: 1.25662
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.22621, relres: 0.0718461, relerr: 1.26229
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.33811, relres: 0.0734788, relerr: 1.34291
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 4.57815, relres: 0.0706465, relerr: 1.31078
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 6.20086, relres: 0.0783649, relerr: 1.29722
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.64325, relres: 0.0676551, relerr: 1.24049
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 7.16827, relres: 0.0671701, relerr: 1.26826
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 7.21033, relres: 0.0621178, relerr: 1.28355
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 5.3687, relres: 0.0721545, relerr: 1.17916
GerSax -> unitary, complex, rand_init, n: 256, m: 566, iter: 2500, t: 6.35445, relres: 0.0775795, relerr: 1.28654
