Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 58.0037, relres: 0.050577, relerr: 1.34071
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 58.5945, relres: 0.0366655, relerr: 1.26774
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 58.168, relres: 0.0380479, relerr: 1.31978
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 58.4769, relres: 0.0374754, relerr: 1.23878
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 512, iter: 500, t: 58.3199, relres: 0.0303127, relerr: 1.36003
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 61.8103, relres: 0.0834276, relerr: 1.29506
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 62.9025, relres: 0.0797863, relerr: 1.25869
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 63.1808, relres: 0.0931, relerr: 1.30564
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 58.8794, relres: 0.0882129, relerr: 1.23362
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 49.7509, relres: 0.0944156, relerr: 1.1279
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 50.3596, relres: 0.0760448, relerr: 1.39567
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 55.1234, relres: 0.0920527, relerr: 1.29394
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 51.004, relres: 0.105933, relerr: 1.18179
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 49.8164, relres: 0.101546, relerr: 1.31599
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 68.1575, relres: 0.094255, relerr: 1.36689
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 64.8788, relres: 0.115337, relerr: 1.30406
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 74.6457, relres: 0.101973, relerr: 1.33376
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 74.1084, relres: 0.105488, relerr: 1.32536
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 71.0347, relres: 0.0883265, relerr: 1.38991
Block Kaczmarz-256 -> unitary, complex, rand_init, n: 256, m: 566, iter: 500, t: 54.5801, relres: 0.102275, relerr: 1.31375
