Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.14971, relres: 0.291012, relerr: 0.465059
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.02745, relres: 0.470748, relerr: 0.853118
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.06883, relres: 0.44872, relerr: 1.07887
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.06946, relres: 0.469554, relerr: 1.01709
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.33501, relres: 0.435541, relerr: 0.800687
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.2185, relres: 0.444412, relerr: 1.08356
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 4.0449, relres: 0.463543, relerr: 0.907018
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.2474, relres: 0.401318, relerr: 0.705598
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.22404, relres: 0.423246, relerr: 0.717816
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.90604, relres: 0.506492, relerr: 0.901697
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.10545, relres: 0.428353, relerr: 1.19462
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.86115, relres: 0.428178, relerr: 0.757726
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.06024, relres: 0.388405, relerr: 0.806554
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.09664, relres: 0.45846, relerr: 1.03376
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.51651, relres: 0.481126, relerr: 0.86225
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.12494, relres: 0.426771, relerr: 0.931434
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.41198, relres: 0.433674, relerr: 1.25881
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 2.11808, relres: 0.515696, relerr: 1.15074
Wirtinger -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 3.35551, relres: 0.457247, relerr: 0.752824
