GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.0581, relres: 0.728996, relerr: 1.22967
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.01561, relres: 0.715233, relerr: 1.14633
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.15963, relres: 0.675723, relerr: 1.0393
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.07149, relres: 0.875344, relerr: 1.19436
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.20536, relres: 1.2415, relerr: 1.05983
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09167, relres: 0.777653, relerr: 0.945092
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.10374, relres: 0.789758, relerr: 0.924134
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.04684, relres: 0.828504, relerr: 1.0916
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.07178, relres: 0.947722, relerr: 1.23909
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.04804, relres: 0.689168, relerr: 0.924289
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.07727, relres: 0.806644, relerr: 0.954136
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 0.974814, relres: 0.803885, relerr: 1.06153
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.08134, relres: 0.798391, relerr: 1.00707
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.07109, relres: 0.88682, relerr: 1.07158
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.37456, relres: 0.859817, relerr: 1.32506
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.05211, relres: 0.681497, relerr: 1.32011
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.01359, relres: 0.704815, relerr: 0.903968
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.04208, relres: 1.00004, relerr: 1.0685
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.02444, relres: 0.613334, relerr: 0.922452
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.03306, relres: 0.792162, relerr: 1.21803
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 0.997051, relres: 0.788736, relerr: 1.15559
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.02537, relres: 0.761419, relerr: 0.938473
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 0.988262, relres: 1.10377, relerr: 1.13886
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.10051, relres: 0.790282, relerr: 1.09451
GerSax -> unitary, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.15037, relres: 0.671045, relerr: 1.11277
