Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 315, t: 376.186, relres: 4.51999e-10, relerr: 6.78637e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 322, t: 380.133, relres: 5.62403e-10, relerr: 8.44942e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 284, t: 338.836, relres: 4.25937e-10, relerr: 6.3982e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 297, t: 352.89, relres: 4.76984e-10, relerr: 7.14483e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 263, t: 311.043, relres: 4.7903e-10, relerr: 7.1911e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 281, t: 340.889, relres: 4.77686e-10, relerr: 7.1686e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 325, t: 395.715, relres: 4.3286e-10, relerr: 6.49515e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 353, t: 424.67, relres: 4.26416e-10, relerr: 6.40509e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 278, t: 339.218, relres: 5.07332e-10, relerr: 7.61069e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 275, t: 329.637, relres: 5.69185e-10, relerr: 8.52327e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 298, t: 351.657, relres: 4.37279e-10, relerr: 6.55396e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 251, t: 299.253, relres: 4.34578e-10, relerr: 6.5135e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 314, t: 379.611, relres: 5.73576e-10, relerr: 8.63221e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 293, t: 349.262, relres: 4.27551e-10, relerr: 6.43184e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 384, t: 463.727, relres: 4.72643e-10, relerr: 7.10953e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 307, t: 369.239, relres: 4.49831e-10, relerr: 6.75246e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 284, t: 337.795, relres: 4.37953e-10, relerr: 6.5674e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 279, t: 329.286, relres: 4.99626e-10, relerr: 7.49034e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 287, t: 355.535, relres: 4.57627e-10, relerr: 6.87793e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 324, t: 393.904, relres: 5.11373e-10, relerr: 7.67598e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 304, t: 368.259, relres: 5.30515e-10, relerr: 7.96058e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 251, t: 301.855, relres: 4.5045e-10, relerr: 6.75713e-10
Block Kaczmarz -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 253, t: 313.025, relres: 4.19798e-10, relerr: 6.29665e-10
