Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 2, t: 1.51599, relres: 1.04095e+09, relerr: 1430.03
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 2, t: 1.5151, relres: 2.52975e+08, relerr: 729.191
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 2, t: 1.50339, relres: 1.50884e+08, relerr: 644.331
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 2, t: 1.50713, relres: 2.96345e+08, relerr: 792.788
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 2, t: 1.49038, relres: 6.99294e+08, relerr: 1172.4
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 2, t: 1.49294, relres: 6.72455e+07, relerr: 400.926
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 2, t: 1.50689, relres: 9.99139e+08, relerr: 1400.12
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 2, t: 1.50069, relres: 3.76744e+08, relerr: 866.721
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 2, t: 1.50169, relres: 8.97087e+08, relerr: 1324.77
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 2, t: 1.50775, relres: 3.33492e+08, relerr: 815.996
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 2, t: 1.50494, relres: 4.73833e+08, relerr: 968.894
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 2, t: 1.50877, relres: 5.66339e+08, relerr: 1060.69
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 2, t: 1.50723, relres: 9.67546e+08, relerr: 1379.71
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 2, t: 1.51221, relres: 3.30789e+07, relerr: 316.24
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 2, t: 1.48751, relres: 9.06364e+08, relerr: 1335.28
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 2, t: 1.4899, relres: 7.17935e+08, relerr: 1187.18
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 2, t: 1.51702, relres: 1.18512e+08, relerr: 519.131
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 2, t: 1.49948, relres: 1.04905e+09, relerr: 1435.09
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 2, t: 1.51165, relres: 8.9402e+08, relerr: 1325.23
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 2, t: 1.5118, relres: 8.08116e+08, relerr: 1260.72
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 2, t: 1.52224, relres: 8.97262e+08, relerr: 1327.9
Wirtinger -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 2, t: 1.51233, relres: 1.14114e+08, relerr: 503.73
