GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 383, t: 431.398, relres: 0.583687, relerr: 1.46625
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 410, t: 461.022, relres: 0.598894, relerr: 1.4734
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 436, t: 497.095, relres: 0.652873, relerr: 1.47425
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 356, t: 402.975, relres: 0.503375, relerr: 1.46653
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 473, t: 532.374, relres: 0.69648, relerr: 1.47157
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 421, t: 474.449, relres: 0.588727, relerr: 1.46817
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 446, t: 504.614, relres: 0.686695, relerr: 1.47094
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 401, t: 462.957, relres: 0.586922, relerr: 1.46385
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 423, t: 481.953, relres: 0.615069, relerr: 1.46971
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 435, t: 496.876, relres: 0.634074, relerr: 1.46726
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 467, t: 531.281, relres: 0.68872, relerr: 1.47477
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 332, t: 381.082, relres: 0.493022, relerr: 1.47477
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 427, t: 488.168, relres: 0.705975, relerr: 1.47373
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 430, t: 493.931, relres: 0.653142, relerr: 1.4752
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 380, t: 430.832, relres: 0.530864, relerr: 1.47453
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 477, t: 540.606, relres: 0.705713, relerr: 1.47547
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 444, t: 508.817, relres: 0.705209, relerr: 1.47836
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 1, iter: 448, t: 511.309, relres: 0.674744, relerr: 1.46417
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 2, iter: 458, t: 521.75, relres: 0.684325, relerr: 1.47131
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 8294400, mode: 3, iter: 373, t: 425.106, relres: 0.525462, relerr: 1.46702
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 457, t: 1035.91, relres: 0.982838, relerr: 1.32472
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 381, t: 857.895, relres: 0.808966, relerr: 1.31864
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 816, t: 1836.08, relres: 9.33782e-11, relerr: 1.68783e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 665, t: 1498.19, relres: 8.87545e-11, relerr: 1.60428e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 859, t: 1938.56, relres: 8.81233e-11, relerr: 1.59206e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 217, t: 486.635, relres: 0.657598, relerr: 1.34827
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 951, t: 2148.98, relres: 9.89984e-11, relerr: 1.78876e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 1036, t: 2323.78, relres: 8.53012e-11, relerr: 1.54156e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 942, t: 2134.81, relres: 9.51531e-11, relerr: 1.72014e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 931, t: 2089.33, relres: 9.652e-11, relerr: 1.74286e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 200, t: 451.993, relres: 0.618513, relerr: 1.34395
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 200, t: 447.897, relres: 0.552971, relerr: 1.36755
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 682, t: 1531.16, relres: 8.42372e-11, relerr: 1.52139e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 355, t: 794.625, relres: 0.837873, relerr: 1.36694
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 200, t: 449.295, relres: 0.551549, relerr: 1.35697
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 817, t: 1845.72, relres: 9.99278e-11, relerr: 1.80448e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 2, iter: 790, t: 1775.23, relres: 9.13613e-11, relerr: 1.65e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 3, iter: 888, t: 2001.41, relres: 9.93839e-11, relerr: 1.79611e-10
GerSax -> cdp2d, eig_init, n1: 1080, n2: 1920, m: 16588800, mode: 1, iter: 200, t: 449.749, relres: 0.554541, relerr: 1.37787
