Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.81687, relres: 0.214991, relerr: 1.51019
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.72, relres: 0.215008, relerr: 1.51451
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.80096, relres: 0.214504, relerr: 1.5134
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.65996, relres: 0.214478, relerr: 1.51643
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.87234, relres: 0.213874, relerr: 1.51399
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.82429, relres: 0.215445, relerr: 1.51154
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.90984, relres: 0.211721, relerr: 1.50234
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.705, relres: 0.531937, relerr: 1.49921
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.8182, relres: 0.535954, relerr: 1.49763
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.476, relres: 0.527757, relerr: 1.49856
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.3658, relres: 0.529093, relerr: 1.48031
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4942, relres: 0.536557, relerr: 1.49822
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.562, relres: 0.535207, relerr: 1.5031
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5364, relres: 0.527598, relerr: 1.50498
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4821, relres: 0.532801, relerr: 1.49933
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.6511, relres: 0.533542, relerr: 1.50097
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4837, relres: 0.535483, relerr: 1.49716
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.7597, relres: 0.534107, relerr: 1.50472
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5016, relres: 0.530663, relerr: 1.49779
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5561, relres: 0.527761, relerr: 1.49858
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4715, relres: 0.528565, relerr: 1.49553
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4866, relres: 0.529238, relerr: 1.49186
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.844, relres: 0.52913, relerr: 1.50003
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.574, relres: 0.531065, relerr: 1.49337
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5145, relres: 0.531351, relerr: 1.50425
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.6919, relres: 0.533335, relerr: 1.50467
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5442, relres: 0.532103, relerr: 1.49885
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.6599, relres: 0.531672, relerr: 1.49769
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.6698, relres: 0.532364, relerr: 1.50113
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5644, relres: 0.529777, relerr: 1.49079
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.7435, relres: 0.536145, relerr: 1.47914
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5802, relres: 0.532102, relerr: 1.49428
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.713, relres: 0.530282, relerr: 1.49992
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5194, relres: 0.525401, relerr: 1.50234
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.6247, relres: 0.528698, relerr: 1.49496
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5364, relres: 0.533351, relerr: 1.50285
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.6394, relres: 0.53163, relerr: 1.48849
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.7991, relres: 0.533688, relerr: 1.5035
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5239, relres: 0.531105, relerr: 1.50172
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.7485, relres: 0.533286, relerr: 1.49283
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4117, relres: 0.534357, relerr: 1.49826
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5014, relres: 0.531242, relerr: 1.4999
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.9466, relres: 0.533036, relerr: 1.49935
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5352, relres: 0.533288, relerr: 1.50144
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5355, relres: 0.53157, relerr: 1.50209
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 12.0874, relres: 0.536865, relerr: 1.50862
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4258, relres: 0.529223, relerr: 1.50158
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4701, relres: 0.530811, relerr: 1.48677
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.8326, relres: 0.532245, relerr: 1.49607
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4426, relres: 0.530642, relerr: 1.50266
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4836, relres: 0.535436, relerr: 1.47821
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.3855, relres: 0.535167, relerr: 1.50522
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4347, relres: 0.532238, relerr: 1.49929
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4424, relres: 0.535702, relerr: 1.50406
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5853, relres: 0.530423, relerr: 1.49842
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5125, relres: 0.531708, relerr: 1.49771
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5965, relres: 0.529846, relerr: 1.50038
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 202, t: 6.31776, relres: 4.72029e-08, relerr: 7.13133e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 214, t: 6.70442, relres: 4.95168e-08, relerr: 7.42997e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 199, t: 6.26381, relres: 4.35542e-08, relerr: 6.51286e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 210, t: 6.84674, relres: 5.01878e-08, relerr: 7.51382e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 174, t: 5.4647, relres: 5.10654e-08, relerr: 7.65204e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 230, t: 7.10927, relres: 4.52698e-08, relerr: 6.7571e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 193, t: 6.08719, relres: 5.35142e-08, relerr: 8.00716e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 190, t: 5.89337, relres: 5.55218e-08, relerr: 8.3221e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 226, t: 7.0616, relres: 5.29993e-08, relerr: 7.94369e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 209, t: 6.47526, relres: 4.98491e-08, relerr: 7.47501e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 214, t: 6.61017, relres: 5.66162e-08, relerr: 8.48781e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 169, t: 5.294, relres: 5.53497e-08, relerr: 8.33184e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 171, t: 5.40103, relres: 4.42549e-08, relerr: 6.62103e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 212, t: 6.67359, relres: 4.78567e-08, relerr: 7.16713e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 309, t: 9.39895, relres: 4.75297e-08, relerr: 7.13369e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 181, t: 5.66571, relres: 5.40337e-08, relerr: 8.10891e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 198, t: 6.24574, relres: 4.47336e-08, relerr: 6.68038e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 195, t: 6.13491, relres: 4.52691e-08, relerr: 6.74814e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 209, t: 6.51073, relres: 4.6118e-08, relerr: 6.90868e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 190, t: 5.98834, relres: 5.48825e-08, relerr: 8.28224e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 185, t: 5.81899, relres: 4.42265e-08, relerr: 6.63153e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 166, t: 5.15665, relres: 4.74732e-08, relerr: 7.14221e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 202, t: 6.31644, relres: 4.81708e-08, relerr: 7.22963e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 179, t: 5.53758, relres: 5.31984e-08, relerr: 8.02827e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 208, t: 6.81246, relres: 4.22592e-08, relerr: 6.32691e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 188, t: 6.16977, relres: 4.33827e-08, relerr: 6.48668e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 161, t: 5.12469, relres: 4.82527e-08, relerr: 7.1839e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 197, t: 6.1681, relres: 4.50019e-08, relerr: 6.74715e-08
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 262144, iter: 217, t: 6.73603, relres: 4.31436e-08, relerr: 6.47185e-08
