Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 8.2393, relres: 0.21584, relerr: 1.51059
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.7905, relres: 0.21452, relerr: 1.50955
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.74025, relres: 0.213443, relerr: 1.51246
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 8.14406, relres: 0.212305, relerr: 1.50641
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.75258, relres: 0.215263, relerr: 1.51501
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.77153, relres: 0.211982, relerr: 1.50829
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 131072, iter: 500, t: 7.61918, relres: 0.212494, relerr: 1.51458
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.8109, relres: 0.529822, relerr: 1.4919
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.8167, relres: 0.533297, relerr: 1.50629
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.6697, relres: 0.530828, relerr: 1.49948
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5061, relres: 0.528285, relerr: 1.49159
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 12.101, relres: 0.529482, relerr: 1.49439
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.6019, relres: 0.529954, relerr: 1.48952
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.9358, relres: 0.529707, relerr: 1.50339
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 12.021, relres: 0.532534, relerr: 1.49491
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 12.3288, relres: 0.532317, relerr: 1.50418
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.6218, relres: 0.535673, relerr: 1.50069
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5011, relres: 0.533462, relerr: 1.48878
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.7367, relres: 0.531786, relerr: 1.50573
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5719, relres: 0.529795, relerr: 1.49871
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5038, relres: 0.529192, relerr: 1.49979
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5, relres: 0.52961, relerr: 1.49634
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5656, relres: 0.532604, relerr: 1.48819
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5181, relres: 0.532488, relerr: 1.49402
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4532, relres: 0.528126, relerr: 1.50205
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.7947, relres: 0.531116, relerr: 1.495
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.6571, relres: 0.530073, relerr: 1.49854
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5172, relres: 0.534746, relerr: 1.50078
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4348, relres: 0.532957, relerr: 1.48584
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4571, relres: 0.530575, relerr: 1.49144
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5905, relres: 0.530342, relerr: 1.49374
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.3904, relres: 0.529701, relerr: 1.50239
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.8362, relres: 0.532991, relerr: 1.48717
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4847, relres: 0.52765, relerr: 1.50873
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.3915, relres: 0.534007, relerr: 1.49205
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.7759, relres: 0.530312, relerr: 1.49863
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.7847, relres: 0.53013, relerr: 1.49189
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.4413, relres: 0.529011, relerr: 1.49567
Block Kaczmarz -> cdp2d, rand_init, n1: 256, n2: 256, m: 196608, iter: 500, t: 11.5595, relres: 0.536705, relerr: 1.50005
