Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 56.3395, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 56.6149, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 131072, iter: 2500, t: 57.5479, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.963, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.646, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.0872, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.6115, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.6283, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.4791, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.3606, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.1575, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.1013, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.4705, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.7363, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 82.7684, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 82.7459, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 82.8905, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.3003, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 81.7513, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 85.0338, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 84.0862, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 81.8271, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 82.9874, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 196608, iter: 2500, t: 83.784, relres: NaN, relerr: NaN
