Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 34.4346, relres: 0.00222092, relerr: 0.00242065
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 30.9968, relres: 0.00209224, relerr: 0.00235486
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 33.9709, relres: 0.00216012, relerr: 0.00232519
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 29.9727, relres: 0.0025896, relerr: 0.00287085
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 33.2834, relres: 0.00262894, relerr: 0.00296579
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 31.8388, relres: 0.00293373, relerr: 0.00338651
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 30.988, relres: 0.00256569, relerr: 0.0026382
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 32.4467, relres: 0.00196384, relerr: 0.00222087
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 31.8258, relres: 0.00239155, relerr: 0.00255729
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 32.2108, relres: 0.00117292, relerr: 0.00126659
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 34.4026, relres: 0.00159537, relerr: 0.00171968
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 29.5801, relres: 0.00123057, relerr: 0.00142791
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 30.6432, relres: 0.00106367, relerr: 0.00114297
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 30.7961, relres: 0.0013298, relerr: 0.00173177
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 31.9548, relres: 0.00127006, relerr: 0.00144998
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 30.6278, relres: 0.00101832, relerr: 0.00117386
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 31.8372, relres: 0.00120301, relerr: 0.00137331
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 30.5485, relres: 0.00101904, relerr: 0.00117829
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 32.0435, relres: 0.00137843, relerr: 0.00158176
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 30.4526, relres: 0.000223783, relerr: 0.000247013
