Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 22.5844, relres: 0.00660169, relerr: 0.00628292
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 22.7719, relres: 0.0053886, relerr: 0.00494223
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 21.8229, relres: 0.00500062, relerr: 0.00444491
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 21.6238, relres: 0.00644066, relerr: 0.00534051
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 21.583, relres: 0.00619843, relerr: 0.00538668
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 20.9099, relres: 0.00646577, relerr: 0.00669839
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 20.8957, relres: 0.00692278, relerr: 0.00565624
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 21.9559, relres: 0.0069278, relerr: 0.00634841
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 21.3855, relres: 0.00362405, relerr: 0.00328155
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 21.1658, relres: 0.0033785, relerr: 0.00286436
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 20.8673, relres: 0.00287424, relerr: 0.00261437
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 20.5562, relres: 0.00348387, relerr: 0.00306695
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 20.8497, relres: 0.00395464, relerr: 0.00358747
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 20.7181, relres: 0.00304269, relerr: 0.00255661
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 20.7846, relres: 0.00386784, relerr: 0.00315166
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 20.71, relres: 0.00337616, relerr: 0.00308947
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 20.7616, relres: 0.00388587, relerr: 0.00340892
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 20.7629, relres: 0.00383064, relerr: 0.00327542
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 20.7349, relres: 0.000907088, relerr: 0.000844953
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 20.822, relres: 0.000793091, relerr: 0.00067896
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 20.774, relres: 0.00138022, relerr: 0.00126532
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 21.0293, relres: 0.00135213, relerr: 0.00115347
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 20.9164, relres: 0.00135446, relerr: 0.00137754
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 20.7829, relres: 0.00137007, relerr: 0.00134141
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 20.5819, relres: 0.0014054, relerr: 0.00120977
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 20.6235, relres: 0.00102882, relerr: 0.000943275
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 21.4189, relres: 0.00114718, relerr: 0.00100693
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 20.7513, relres: 0.00156349, relerr: 0.00143436
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 20.8243, relres: 0.000474105, relerr: 0.000431619
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 21.1655, relres: 0.000518761, relerr: 0.00044492
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 22.2734, relres: 0.000631991, relerr: 0.000542954
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 22.5978, relres: 0.000456742, relerr: 0.00042326
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 22.6763, relres: 0.000573279, relerr: 0.000510494
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 27.2304, relres: 0.000734626, relerr: 0.000647605
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 24.1043, relres: 0.00102474, relerr: 0.000891521
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 24.5039, relres: 0.000696461, relerr: 0.000655535
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 24.0568, relres: 0.000490215, relerr: 0.00045426
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 25.0504, relres: 0.000572299, relerr: 0.000520237
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 24.6125, relres: 0.000265204, relerr: 0.000246719
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 24.2703, relres: 0.000105204, relerr: 9.42995e-05
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 24.7303, relres: 0.000149228, relerr: 0.000137073
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 24.2157, relres: 0.000157652, relerr: 0.000144811
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 24.4149, relres: 0.000144184, relerr: 0.000129359
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 24.4615, relres: 0.000134426, relerr: 0.000139431
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 24.0636, relres: 0.000240896, relerr: 0.000235167
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 22.6845, relres: 0.00017761, relerr: 0.000167783
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 21.2685, relres: 0.000170675, relerr: 0.000146868
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 21.1262, relres: 0.00011124, relerr: 0.000105441
