Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 157, t: 12.7937, relres: 4.96551e-05, relerr: 4.53007e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 164, t: 13.361, relres: 4.93045e-05, relerr: 4.41849e-05
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 181, t: 14.54, relres: 9.99061e-06, relerr: 9.40629e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 246, t: 18.9534, relres: 9.84903e-06, relerr: 8.79438e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 170, t: 13.5068, relres: 9.94456e-06, relerr: 9.22909e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 181, t: 14.0449, relres: 9.98837e-06, relerr: 9.438e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 175, t: 15.623, relres: 9.96669e-06, relerr: 9.34562e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 219, t: 17.4634, relres: 9.89865e-06, relerr: 9.06167e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 498, t: 39.6992, relres: 9.87892e-06, relerr: 8.98675e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 172, t: 13.617, relres: 9.85631e-06, relerr: 8.83438e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 191, t: 14.9859, relres: 9.94589e-06, relerr: 9.24242e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 172, t: 13.6546, relres: 9.8769e-06, relerr: 8.92182e-06
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 77, t: 6.45343, relres: 0.0989684, relerr: 0.091839
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 78, t: 6.94204, relres: 0.0987419, relerr: 0.0913022
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 97, t: 9.45316, relres: 0.0995331, relerr: 0.0945714
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 97, t: 8.37184, relres: 0.0990912, relerr: 0.0933245
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 87, t: 7.20413, relres: 0.0992074, relerr: 0.0930292
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 93, t: 8.1222, relres: 0.0999066, relerr: 0.0954787
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 89, t: 7.74196, relres: 0.0984448, relerr: 0.0911593
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 73, t: 6.57529, relres: 0.0986656, relerr: 0.0905129
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 139, t: 11.9679, relres: 0.0977336, relerr: 0.0901
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 206, t: 16.4102, relres: 0.0998626, relerr: 0.0968765
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 85, t: 7.31916, relres: 0.0496793, relerr: 0.0451501
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 165, t: 13.8684, relres: 0.049144, relerr: 0.0441061
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 100, t: 8.32959, relres: 0.0492001, relerr: 0.0437476
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 176, t: 15.2822, relres: 0.048797, relerr: 0.0429624
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 73, t: 6.03799, relres: 0.0493162, relerr: 0.0438631
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 2500, t: 337.016, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 90, t: 8.00452, relres: 0.0498339, relerr: 0.0458076
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 2500, t: 341.091, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 90, t: 7.78884, relres: 0.0493594, relerr: 0.0442118
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 121, t: 10.5047, relres: 0.0498701, relerr: 0.0462706
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 107, t: 9.18489, relres: 0.00996716, relerr: 0.00901669
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 140, t: 12.4685, relres: 0.00998316, relerr: 0.00907083
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 112, t: 9.90226, relres: 0.00992602, relerr: 0.00891414
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 2500, t: 334.777, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 106, t: 8.59014, relres: 0.00998541, relerr: 0.00910413
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 98, t: 7.90449, relres: 0.00988654, relerr: 0.00867119
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 104, t: 9.59745, relres: 0.00987024, relerr: 0.00859731
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 103, t: 9.04095, relres: 0.00995856, relerr: 0.00897753
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 94, t: 7.76752, relres: 0.00993679, relerr: 0.00887259
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 96, t: 9.01198, relres: 0.00990835, relerr: 0.0087589
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 180, t: 15.5209, relres: 0.00496885, relerr: 0.00450359
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 123, t: 10.9157, relres: 0.00496832, relerr: 0.00446445
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 116, t: 9.99513, relres: 0.00493241, relerr: 0.00432291
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 136, t: 11.8534, relres: 0.00497232, relerr: 0.00447948
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 2500, t: 366.421, relres: NaN, relerr: NaN
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 164, t: 15.6209, relres: 0.00496886, relerr: 0.00448736
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 113, t: 10.4163, relres: 0.00494275, relerr: 0.0043611
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 193, t: 17.3416, relres: 0.00493218, relerr: 0.0043535
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 171, t: 15.6482, relres: 0.00496717, relerr: 0.00448407
Wirtinger -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.005, iter: 110, t: 10.1626, relres: 0.00499807, relerr: 0.00459651
