Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 99, t: 0.340229, relres: 0.000987346, relerr: 0.000964612
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 101, t: 0.381861, relres: 0.000992582, relerr: 0.00087874
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 100, t: 0.315417, relres: 0.000987721, relerr: 0.000871976
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 96, t: 0.295465, relres: 0.000985068, relerr: 0.000820516
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 100, t: 0.316155, relres: 0.000994261, relerr: 0.000907851
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 100, t: 0.351685, relres: 0.000987467, relerr: 0.000880433
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 105, t: 0.424057, relres: 0.000989372, relerr: 0.000844477
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 100, t: 0.292998, relres: 0.000989099, relerr: 0.000919495
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 112, t: 0.335518, relres: 0.000499421, relerr: 0.000495297
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 109, t: 0.32174, relres: 0.000499757, relerr: 0.00040488
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 102, t: 0.30234, relres: 0.000493203, relerr: 0.000413208
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 102, t: 0.298616, relres: 0.000493563, relerr: 0.000402843
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 108, t: 0.319998, relres: 0.000497901, relerr: 0.00049709
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 105, t: 0.310282, relres: 0.000495337, relerr: 0.000419959
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 109, t: 0.321822, relres: 0.000493892, relerr: 0.000426674
Wirtinger -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 104, t: 0.303094, relres: 0.000495177, relerr: 0.000486874
