Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 33.2203, relres: 0.00268489, relerr: 0.00305123
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 32.4273, relres: 0.00232832, relerr: 0.0028189
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 32.055, relres: 0.00239148, relerr: 0.002698
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 32.1789, relres: 0.00280804, relerr: 0.00318985
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 31.7841, relres: 0.00218735, relerr: 0.00218639
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 30.8093, relres: 0.00241759, relerr: 0.00270887
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 31.1125, relres: 0.00251491, relerr: 0.00274012
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 30.8145, relres: 0.00206222, relerr: 0.00220963
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 31.1355, relres: 0.00192966, relerr: 0.00206424
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 30.9502, relres: 0.000993394, relerr: 0.00114382
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 30.977, relres: 0.00107097, relerr: 0.00114799
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 30.7367, relres: 0.00114264, relerr: 0.00121358
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 30.9484, relres: 0.00177294, relerr: 0.00206629
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 30.6219, relres: 0.00211381, relerr: 0.00238542
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 30.687, relres: 0.00112539, relerr: 0.00124585
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 30.5779, relres: 0.00123622, relerr: 0.00149956
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 31.1316, relres: 0.00162997, relerr: 0.00180466
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 31.3767, relres: 0.000235169, relerr: 0.000267886
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 30.9743, relres: 0.00029373, relerr: 0.000320911
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 31.5064, relres: 0.000287428, relerr: 0.000322113
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 30.7857, relres: 0.000273672, relerr: 0.000286018
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 31.51, relres: 0.000240173, relerr: 0.000272504
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 31.5204, relres: 0.000210381, relerr: 0.000232005
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 30.8291, relres: 0.000194537, relerr: 0.000202951
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 31.1758, relres: 0.00033724, relerr: 0.000375119
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 30.7213, relres: 0.000336409, relerr: 0.000384035
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 30.8288, relres: 0.000225022, relerr: 0.000257125
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 30.9239, relres: 0.000112405, relerr: 0.000125746
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 31.358, relres: 0.000137304, relerr: 0.000157177
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 30.8781, relres: 0.000124541, relerr: 0.000132156
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 31.0438, relres: 0.000130583, relerr: 0.000153664
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 31.5025, relres: 0.00014466, relerr: 0.000162655
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 31.4553, relres: 0.000138681, relerr: 0.000150657
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 31.0901, relres: 0.000121064, relerr: 0.000129739
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 31.5648, relres: 0.000123569, relerr: 0.000141709
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 31.4199, relres: 0.000111595, relerr: 0.000123926
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 30.8889, relres: 0.000680907, relerr: 0.000733118
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 30.8821, relres: 2.15045e-05, relerr: 2.41484e-05
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 31.1193, relres: 5.49485e-05, relerr: 6.31276e-05
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 31.3613, relres: 2.19749e-05, relerr: 2.40995e-05
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 30.9006, relres: 2.37487e-05, relerr: 2.60929e-05
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 30.6336, relres: 2.4123e-05, relerr: 2.78376e-05
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 31.2941, relres: 2.0337e-05, relerr: 2.14128e-05
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 30.8254, relres: 4.59165e-05, relerr: 5.26288e-05
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 30.7712, relres: 2.44049e-05, relerr: 2.89767e-05
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 31.2712, relres: 2.87465e-05, relerr: 3.10907e-05
Kaczmarz -> cdp, rand_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 31.3477, relres: 2.06457e-05, relerr: 2.26725e-05
