Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 0.321729, relres: 0.00403039, relerr: 0.00455156
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 0.333817, relres: 0.0043729, relerr: 0.00479793
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 0.398247, relres: 0.00424875, relerr: 0.00464905
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 0.329769, relres: 0.00351838, relerr: 0.00424704
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 0.363999, relres: 0.00382144, relerr: 0.00454883
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 0.324122, relres: 0.00388034, relerr: 0.00451116
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 0.309613, relres: 0.0034078, relerr: 0.00371885
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 0.304482, relres: 0.00387, relerr: 0.00423786
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 0.327661, relres: 0.00385653, relerr: 0.00434663
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 0.348708, relres: 0.00277329, relerr: 0.00314309
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 0.346558, relres: 0.00267874, relerr: 0.00298202
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 0.345547, relres: 0.00147319, relerr: 0.0017407
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 0.308271, relres: 0.00158027, relerr: 0.00171836
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 0.308283, relres: 0.00155129, relerr: 0.00179708
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 0.302443, relres: 0.00269887, relerr: 0.00300489
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 0.306136, relres: 0.00285404, relerr: 0.00330266
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 0.388712, relres: 0.00166813, relerr: 0.00181334
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 0.350342, relres: 0.00198019, relerr: 0.00230193
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 0.350157, relres: 0.00260595, relerr: 0.00295098
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 0.408684, relres: 0.000394058, relerr: 0.000458182
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 0.394313, relres: 0.000454535, relerr: 0.000528292
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 0.321228, relres: 0.000430613, relerr: 0.000472992
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 0.408121, relres: 0.000363851, relerr: 0.000415942
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 0.319865, relres: 0.000387652, relerr: 0.000446836
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 0.325096, relres: 0.000328808, relerr: 0.00036905
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 0.331937, relres: 0.00028532, relerr: 0.00031296
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 0.335521, relres: 0.000488289, relerr: 0.000549626
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 0.36533, relres: 0.000496283, relerr: 0.000557124
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 0.355583, relres: 0.00032266, relerr: 0.000386213
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 0.344291, relres: 0.000173445, relerr: 0.000204045
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 0.39703, relres: 0.000213069, relerr: 0.000239039
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 0.344212, relres: 0.000200942, relerr: 0.000220164
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 0.350298, relres: 0.000195394, relerr: 0.000228155
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 0.378666, relres: 0.000225331, relerr: 0.000247121
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 0.359185, relres: 0.000204907, relerr: 0.000223962
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 0.351071, relres: 0.000182685, relerr: 0.000199295
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 0.366029, relres: 0.000193014, relerr: 0.000217772
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 0.331509, relres: 0.000164665, relerr: 0.000188096
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 500, t: 0.378192, relres: 0.00101782, relerr: 0.00108736
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 0.354747, relres: 3.32432e-05, relerr: 3.75531e-05
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 0.342439, relres: 7.78326e-05, relerr: 9.49317e-05
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 0.318265, relres: 3.64805e-05, relerr: 4.05125e-05
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 0.315463, relres: 3.46335e-05, relerr: 4.00883e-05
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 0.352816, relres: 3.78851e-05, relerr: 4.44478e-05
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 0.31003, relres: 3.12684e-05, relerr: 3.59832e-05
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 0.306592, relres: 7.95498e-05, relerr: 9.63796e-05
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 0.334111, relres: 3.84218e-05, relerr: 4.48166e-05
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 0.347026, relres: 4.29146e-05, relerr: 4.74434e-05
Block Kaczmarz-256 -> cdp, eig_init, n: 256, m: 1536, epsilon: 1e-05, iter: 500, t: 0.316545, relres: 3.02676e-05, relerr: 3.27428e-05
