Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 500, t: 45.8983, relres: 0.000235761, relerr: 0.000246529
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 500, t: 45.527, relres: 0.000231559, relerr: 0.000241393
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 5e-05, iter: 500, t: 45.3642, relres: 0.000248201, relerr: 0.000259696
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 500, t: 46.0667, relres: 5.55659e-05, relerr: 5.8181e-05
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 500, t: 45.8522, relres: 5.71818e-05, relerr: 5.97698e-05
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 500, t: 46.0291, relres: 5.04289e-05, relerr: 5.27899e-05
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 500, t: 45.5911, relres: 5.32518e-05, relerr: 5.58871e-05
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 500, t: 45.356, relres: 5.12542e-05, relerr: 5.361e-05
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 500, t: 46.1215, relres: 4.83963e-05, relerr: 5.05027e-05
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 500, t: 46.6462, relres: 5.57173e-05, relerr: 5.83107e-05
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 500, t: 45.9731, relres: 5.47883e-05, relerr: 5.73365e-05
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 500, t: 45.1881, relres: 4.99111e-05, relerr: 5.22191e-05
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 1e-05, iter: 500, t: 44.9371, relres: 5.03386e-05, relerr: 5.26196e-05
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 500, t: 60.4549, relres: 0.282613, relerr: 0.289282
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 500, t: 60.554, relres: 0.284157, relerr: 0.290482
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 500, t: 47.3108, relres: 0.286151, relerr: 0.293158
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 500, t: 47.822, relres: 0.282446, relerr: 0.289187
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 500, t: 49.8286, relres: 0.284299, relerr: 0.290795
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 500, t: 48.5673, relres: 0.28345, relerr: 0.289992
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 500, t: 49.6337, relres: 0.28576, relerr: 0.292716
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 500, t: 46.7884, relres: 0.283334, relerr: 0.290306
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 500, t: 46.6378, relres: 0.282662, relerr: 0.289142
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.1, iter: 500, t: 48.2146, relres: 0.285124, relerr: 0.291964
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 500, t: 48.9813, relres: 0.150857, relerr: 0.153693
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 500, t: 48.1418, relres: 0.150487, relerr: 0.15356
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 500, t: 48.4382, relres: 0.151436, relerr: 0.154776
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 500, t: 48.4879, relres: 0.150678, relerr: 0.153284
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 500, t: 47.6623, relres: 0.151183, relerr: 0.154241
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 500, t: 48.252, relres: 0.15105, relerr: 0.154066
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 500, t: 48.9946, relres: 0.150901, relerr: 0.154196
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 500, t: 48.1671, relres: 0.149991, relerr: 0.153138
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 500, t: 49.1382, relres: 0.152088, relerr: 0.15498
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.05, iter: 500, t: 48.3592, relres: 0.150646, relerr: 0.153631
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 500, t: 48.4074, relres: 0.0350897, relerr: 0.0359881
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 500, t: 48.7254, relres: 0.0355138, relerr: 0.0364233
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 500, t: 48.3625, relres: 0.0349989, relerr: 0.0359453
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 500, t: 48.2033, relres: 0.0350816, relerr: 0.0360451
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 500, t: 45.7443, relres: 0.0353487, relerr: 0.036349
Block Kaczmarz -> cdp2d, eig_init, n1: 256, n2: 256, m: 786432, epsilon: 0.01, iter: 500, t: 47.4555, relres: 0.035039, relerr: 0.0360969
