Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 229, t: 2.33301, relres: 0.000992719, relerr: 0.00184219
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 217, t: 2.2267, relres: 0.000996628, relerr: 0.00180989
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 232, t: 2.40872, relres: 0.000991507, relerr: 0.00186721
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 229, t: 2.33738, relres: 0.000998293, relerr: 0.00169155
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 219, t: 2.27596, relres: 0.000995501, relerr: 0.00187005
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 226, t: 2.31451, relres: 0.000999125, relerr: 0.00191496
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 226, t: 2.31175, relres: 0.000995944, relerr: 0.0017748
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 240, t: 2.53275, relres: 0.000991451, relerr: 0.00170323
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 227, t: 2.33866, relres: 0.000993664, relerr: 0.00167637
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 263, t: 2.68462, relres: 0.000497354, relerr: 0.000952184
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 253, t: 2.66002, relres: 0.000497217, relerr: 0.000871868
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 261, t: 2.75919, relres: 0.00049929, relerr: 0.000921459
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 271, t: 2.89336, relres: 0.00049689, relerr: 0.000888778
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 271, t: 2.96841, relres: 0.000499436, relerr: 0.000877273
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 263, t: 2.8136, relres: 0.00049919, relerr: 0.000950898
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 257, t: 2.65745, relres: 0.000498597, relerr: 0.000913392
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 274, t: 2.77368, relres: 0.000498706, relerr: 0.000947606
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 265, t: 2.66212, relres: 0.000498084, relerr: 0.000929277
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 259, t: 2.58722, relres: 0.000497675, relerr: 0.00091945
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 318, t: 3.15967, relres: 9.98934e-05, relerr: 0.000180261
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 315, t: 3.16498, relres: 9.93781e-05, relerr: 0.000171399
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 314, t: 3.12852, relres: 9.92613e-05, relerr: 0.000170147
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 346, t: 3.45583, relres: 9.98122e-05, relerr: 0.000195665
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 320, t: 3.16331, relres: 9.91703e-05, relerr: 0.000184137
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 325, t: 3.22194, relres: 9.96537e-05, relerr: 0.000205667
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 339, t: 3.36051, relres: 9.93962e-05, relerr: 0.000208427
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 307, t: 3.18068, relres: 9.92907e-05, relerr: 0.000172085
