GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 9.02995, relres: 0.00129061, relerr: 0.00173004
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 8.76477, relres: 0.00128481, relerr: 0.00165135
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 8.69355, relres: 0.00155837, relerr: 0.00208914
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 8.92795, relres: 0.00143768, relerr: 0.00198413
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 8.95138, relres: 0.00167883, relerr: 0.00242531
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 8.77658, relres: 0.00140482, relerr: 0.00179812
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 8.79791, relres: 0.00119241, relerr: 0.00150526
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 8.83291, relres: 0.00131338, relerr: 0.00169378
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 9.02843, relres: 0.000661497, relerr: 0.000828896
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 9.01395, relres: 0.000820049, relerr: 0.000996292
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 8.69096, relres: 0.000711575, relerr: 0.000926066
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 8.66221, relres: 0.000588104, relerr: 0.00071807
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 8.96895, relres: 0.000847643, relerr: 0.00124247
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 8.73695, relres: 0.000709798, relerr: 0.000981506
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 8.76995, relres: 0.000643223, relerr: 0.000815527
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 8.82367, relres: 0.000693561, relerr: 0.00092415
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 8.78606, relres: 0.000599455, relerr: 0.000781672
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 8.81895, relres: 0.00103475, relerr: 0.00139398
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 8.7875, relres: 0.000129283, relerr: 0.00016535
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 8.77795, relres: 0.000129299, relerr: 0.000175136
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 8.78017, relres: 0.000145536, relerr: 0.000192075
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 8.79702, relres: 0.000149321, relerr: 0.000192735
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 8.86513, relres: 0.000145776, relerr: 0.000194684
GerSax -> gaussian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 2500, t: 8.84665, relres: 0.000144032, relerr: 0.000200015
