GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 2.56603, relres: 0.00286003, relerr: 0.00292343
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 2.87262, relres: 0.00257438, relerr: 0.00268864
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 2.46844, relres: 0.0026132, relerr: 0.0025987
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 2.45533, relres: 0.00254254, relerr: 0.00244943
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 2.46127, relres: 0.002369, relerr: 0.00233403
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 2.37422, relres: 0.00287646, relerr: 0.00305433
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 2.46761, relres: 0.00265997, relerr: 0.00250072
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 2500, t: 2.19399, relres: 0.00251125, relerr: 0.00241034
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 2.45405, relres: 0.00146487, relerr: 0.00150162
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 2.21038, relres: 0.00156718, relerr: 0.00146628
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 2.2231, relres: 0.0013007, relerr: 0.00126269
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 2.21709, relres: 0.00150985, relerr: 0.00145487
GerSax -> gaussian, real, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 2500, t: 2.21806, relres: 0.00160269, relerr: 0.00174715
