Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.005, iter: 500, t: 74.4308, relres: 0.0134351, relerr: 0.0148507
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 73.5803, relres: 0.00322181, relerr: 0.0037506
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 74.7658, relres: 0.00283745, relerr: 0.00306855
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 73.8366, relres: 0.0026497, relerr: 0.00296425
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 74.5017, relres: 0.00276122, relerr: 0.00305991
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 73.9237, relres: 0.00337043, relerr: 0.00364972
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 80.479, relres: 0.00328703, relerr: 0.003679
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 74.9366, relres: 0.00413164, relerr: 0.00451174
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 74.9235, relres: 0.0030156, relerr: 0.00325718
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 74.1255, relres: 0.00239043, relerr: 0.00279456
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 500, t: 75.722, relres: 0.00311272, relerr: 0.00339697
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 74.7893, relres: 0.00144619, relerr: 0.00158758
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 87.6441, relres: 0.00191426, relerr: 0.00210844
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 76.1841, relres: 0.00149842, relerr: 0.00172663
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 74.4121, relres: 0.00134639, relerr: 0.00148537
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 75.4973, relres: 0.00185069, relerr: 0.00234811
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 75.9916, relres: 0.00159888, relerr: 0.00184506
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 74.0087, relres: 0.00133369, relerr: 0.00152074
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 75.0512, relres: 0.00146949, relerr: 0.00170464
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 73.9835, relres: 0.00130322, relerr: 0.00150612
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 500, t: 75.0939, relres: 0.00176412, relerr: 0.00213152
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 74.0346, relres: 0.00027861, relerr: 0.000307963
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 75.9475, relres: 0.000295232, relerr: 0.000336439
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 74.3146, relres: 0.000299493, relerr: 0.000353533
Block Kaczmarz-64 -> guassian, complex, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 500, t: 75.0797, relres: 0.000322467, relerr: 0.000352963
