Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 230, t: 0.074486, relres: 0.000995289, relerr: 0.00201594
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 235, t: 0.076091, relres: 0.000992021, relerr: 0.00178992
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 223, t: 0.097581, relres: 0.000992223, relerr: 0.00193525
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 260, t: 0.084254, relres: 0.000999885, relerr: 0.00167402
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 234, t: 0.073561, relres: 0.000997267, relerr: 0.00175247
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.001, iter: 245, t: 0.078026, relres: 0.000993954, relerr: 0.0017902
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 259, t: 0.081125, relres: 0.00049647, relerr: 0.000936164
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 245, t: 0.096158, relres: 0.000497297, relerr: 0.00085614
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 251, t: 0.081941, relres: 0.000498351, relerr: 0.000916148
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 257, t: 0.081687, relres: 0.000497237, relerr: 0.000810447
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 244, t: 0.078112, relres: 0.00049969, relerr: 0.000939182
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 255, t: 0.080649, relres: 0.000497126, relerr: 0.000920856
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 265, t: 0.083335, relres: 0.000496463, relerr: 0.000972844
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 258, t: 0.080452, relres: 0.00049874, relerr: 0.000881279
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 269, t: 0.121135, relres: 0.000497493, relerr: 0.000972231
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0005, iter: 249, t: 0.091247, relres: 0.00049691, relerr: 0.00096411
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 322, t: 0.119247, relres: 9.95888e-05, relerr: 0.000191532
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 316, t: 0.101455, relres: 9.97706e-05, relerr: 0.000187457
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 329, t: 0.107949, relres: 9.95523e-05, relerr: 0.00016803
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 343, t: 0.110748, relres: 9.97387e-05, relerr: 0.000172141
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 333, t: 0.135793, relres: 9.98442e-05, relerr: 0.000185286
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 330, t: 0.105308, relres: 9.97277e-05, relerr: 0.000197499
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 303, t: 0.096443, relres: 9.99708e-05, relerr: 0.00018279
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 326, t: 0.104349, relres: 9.95857e-05, relerr: 0.000169837
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 335, t: 0.105601, relres: 9.98498e-05, relerr: 0.000184697
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 0.0001, iter: 340, t: 0.108374, relres: 9.96201e-05, relerr: 0.000193376
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 358, t: 0.154169, relres: 4.99963e-05, relerr: 9.55115e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 373, t: 0.146623, relres: 4.99729e-05, relerr: 9.95119e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 354, t: 0.112535, relres: 4.99227e-05, relerr: 8.57798e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 423, t: 0.156917, relres: 4.976e-05, relerr: 9.14292e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 348, t: 0.138614, relres: 4.96383e-05, relerr: 9.11036e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 337, t: 0.136955, relres: 4.98593e-05, relerr: 8.70665e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 347, t: 0.151709, relres: 4.97794e-05, relerr: 8.92357e-05
Wirtinger -> cdp, eig_init, n: 256, m: 1536, epsilon: 5e-05, iter: 339, t: 0.139654, relres: 4.9877e-05, relerr: 8.76671e-05
