Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.5129, relres: 0.0729078, relerr: 1.40164
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4365, relres: 0.106393, relerr: 1.51741
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4299, relres: 0.0890467, relerr: 1.2641
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.4633, relres: 0.0641439, relerr: 1.39136
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 10.3497, relres: 0.0781244, relerr: 1.51346
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.46, relres: 0.130742, relerr: 1.39045
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4561, relres: 0.116826, relerr: 1.1543
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4734, relres: 0.086504, relerr: 1.26576
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4374, relres: 0.119932, relerr: 1.25879
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.5318, relres: 0.120768, relerr: 1.50875
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4514, relres: 0.0877965, relerr: 1.33786
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4945, relres: 0.143127, relerr: 1.53964
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4493, relres: 0.106604, relerr: 1.43262
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.5025, relres: 0.118469, relerr: 1.20882
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4552, relres: 0.109374, relerr: 1.50983
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4481, relres: 0.118804, relerr: 1.23437
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.3606, relres: 0.108337, relerr: 1.43938
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4534, relres: 0.111687, relerr: 1.13147
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.4514, relres: 0.104557, relerr: 1.38088
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 11.3696, relres: 0.107069, relerr: 1.28585
