Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.10089, relres: 0.0327101, relerr: 1.28696
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 512, iter: 2500, t: 5.24225, relres: 0.136887, relerr: 1.3606
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.51472, relres: 0.0518689, relerr: 1.29842
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.49933, relres: 0.0573949, relerr: 1.26893
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.46018, relres: 0.0592915, relerr: 1.19083
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.53071, relres: 0.0458323, relerr: 1.32183
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.48749, relres: 0.111335, relerr: 1.38347
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.44964, relres: 0.0527299, relerr: 1.31142
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.44712, relres: 0.0591242, relerr: 1.36331
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.4581, relres: 0.0455108, relerr: 1.2794
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.49117, relres: 0.0611505, relerr: 1.25373
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.33727, relres: 0.0545397, relerr: 1.38858
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.44298, relres: 0.0433357, relerr: 1.31421
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.55046, relres: 0.0529828, relerr: 1.2325
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.47112, relres: 0.0460419, relerr: 1.01545
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.53957, relres: 0.0486489, relerr: 1.17236
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.44393, relres: 0.0508081, relerr: 1.25873
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.46614, relres: 0.0586254, relerr: 1.36225
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.42415, relres: 0.0442808, relerr: 1.24031
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.43679, relres: 0.0528725, relerr: 1.26936
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.40837, relres: 0.0781399, relerr: 1.26716
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.48557, relres: 0.0420279, relerr: 0.984814
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.48491, relres: 0.0455893, relerr: 1.14853
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.59392, relres: 0.0544362, relerr: 1.26547
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.49857, relres: 0.0460519, relerr: 1.19015
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.51605, relres: 0.0580401, relerr: 1.19215
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.38697, relres: 0.040851, relerr: 1.02934
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.52839, relres: 0.0628844, relerr: 1.4355
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.46188, relres: 0.0502881, relerr: 1.3769
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.58945, relres: 0.0562178, relerr: 1.37946
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.45264, relres: 0.0592744, relerr: 1.33755
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.56742, relres: 0.0446036, relerr: 1.16274
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.48082, relres: 0.0340957, relerr: 1.00766
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.49562, relres: 0.154684, relerr: 1.12748
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.5444, relres: 0.0455564, relerr: 1.42801
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.56322, relres: 0.0570078, relerr: 1.18202
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.55839, relres: 0.0431719, relerr: 1.16678
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.75327, relres: 0.0417092, relerr: 0.980804
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.53118, relres: 0.035432, relerr: 0.979886
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.59269, relres: 0.051959, relerr: 1.35764
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.52483, relres: 0.05746, relerr: 1.35853
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.51322, relres: 0.055912, relerr: 1.34345
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.39576, relres: 0.0425515, relerr: 1.01066
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.61888, relres: 0.0457791, relerr: 1.16818
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.52573, relres: 0.0539562, relerr: 1.46866
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.45383, relres: 0.0502965, relerr: 1.27341
Wirtinger -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 5.51237, relres: 0.0466604, relerr: 1.32818
