Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 10.0989, relres: 0.0435334, relerr: 1.38142
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 512, iter: 500, t: 12.6421, relres: 0.0368268, relerr: 1.54477
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.7356, relres: 0.121611, relerr: 1.44917
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.9456, relres: 0.0878392, relerr: 1.58674
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.5785, relres: 0.109963, relerr: 1.49033
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.7407, relres: 0.101897, relerr: 1.34396
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.6247, relres: 0.0805914, relerr: 1.51136
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 13.563, relres: 0.0888125, relerr: 1.4599
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.494, relres: 0.0999643, relerr: 1.57258
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.5391, relres: 0.0920966, relerr: 1.5097
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.9844, relres: 0.0906837, relerr: 1.36404
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.7768, relres: 0.0938898, relerr: 1.53839
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.2676, relres: 0.0948417, relerr: 1.50995
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.4054, relres: 0.135747, relerr: 1.50143
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.718, relres: 0.0909049, relerr: 1.48123
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.6621, relres: 0.0758193, relerr: 1.54514
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.4558, relres: 0.0843428, relerr: 1.50897
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.0687, relres: 0.0879988, relerr: 1.50459
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.1312, relres: 0.098512, relerr: 1.43038
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.7333, relres: 0.0804753, relerr: 1.55277
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.4165, relres: 0.094889, relerr: 1.53976
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.519, relres: 0.0966247, relerr: 1.54335
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.1987, relres: 0.108543, relerr: 1.51993
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.5224, relres: 0.0954322, relerr: 1.52196
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.5558, relres: 0.116919, relerr: 1.5491
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.0856, relres: 0.105935, relerr: 1.55748
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.9622, relres: 0.0816412, relerr: 1.52384
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 13.2757, relres: 0.115967, relerr: 1.60524
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 13.8461, relres: 0.11058, relerr: 1.58948
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 11.9089, relres: 0.0856226, relerr: 1.47997
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.2721, relres: 0.109222, relerr: 1.45013
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.8396, relres: 0.0929799, relerr: 1.54926
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 566, iter: 500, t: 12.1901, relres: 0.104808, relerr: 1.3468
