Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.474, relres: 0.219706, relerr: 0.0739248
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.4229, relres: 0.303259, relerr: 0.575068
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.42253, relres: 0.32718, relerr: 1.01511
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.42898, relres: 0.400308, relerr: 1.11242
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.43078, relres: 0.448362, relerr: 0.101546
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.39306, relres: 0.515971, relerr: 0.083953
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.48562, relres: 0.333499, relerr: 0.972692
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.43352, relres: 0.378001, relerr: 0.746171
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.43481, relres: 0.287115, relerr: 0.540115
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.39081, relres: 0.301869, relerr: 0.986043
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.43683, relres: 0.409619, relerr: 1.00125
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.42351, relres: 0.432828, relerr: 1.49286
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.49402, relres: 0.381228, relerr: 0.55327
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.39447, relres: 0.323099, relerr: 0.123569
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.49958, relres: 0.334311, relerr: 1.28209
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.39053, relres: 0.425406, relerr: 0.839346
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.46522, relres: 0.359732, relerr: 0.637042
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.45004, relres: 0.298937, relerr: 0.236126
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.46793, relres: 0.299438, relerr: 0.996966
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.37844, relres: 0.437923, relerr: 0.92536
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.42804, relres: 0.284118, relerr: 0.219659
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.38006, relres: 0.283308, relerr: 1.03367
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.4461, relres: 0.405994, relerr: 1.52657
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.41386, relres: 0.289879, relerr: 0.702772
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.43125, relres: 0.35988, relerr: 1.01463
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.44816, relres: 0.459142, relerr: 1.29632
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.44666, relres: 0.293964, relerr: 0.431606
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.38784, relres: 0.39789, relerr: 1.30892
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.43542, relres: 0.264133, relerr: 0.174213
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.46039, relres: NaN, relerr: NaN
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.41594, relres: 0.273383, relerr: 0.797446
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.3765, relres: 0.283181, relerr: 0.86703
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.4703, relres: 0.357359, relerr: 0.0936101
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.39678, relres: 0.305066, relerr: 1.2463
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.42549, relres: 0.400153, relerr: 1.04145
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.37419, relres: 0.469941, relerr: 1.3865
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.51973, relres: 0.434688, relerr: 1.39005
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.38478, relres: 0.390503, relerr: 1.21861
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.4233, relres: 0.343513, relerr: 0.0849865
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.36365, relres: 0.181877, relerr: 0.0754594
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.4457, relres: 0.358462, relerr: 0.54535
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.42845, relres: 0.406354, relerr: 0.356234
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.44465, relres: 0.310667, relerr: 0.86868
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.37879, relres: 0.301678, relerr: 0.531926
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.45236, relres: 0.356108, relerr: 0.697534
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.40836, relres: 0.274594, relerr: 0.173338
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.44776, relres: 0.238353, relerr: 0.692921
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.437, relres: 0.368413, relerr: 0.618218
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.45302, relres: 0.405167, relerr: 0.58885
Wirtinger -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.56713, relres: 0.379209, relerr: 0.183086
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.74263, relres: 0.394804, relerr: 0.0892444
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.69941, relres: 0.342905, relerr: 0.092089
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.73063, relres: 0.334953, relerr: 1.02851
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.60661, relres: 0.246855, relerr: 0.180444
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.69162, relres: 0.346429, relerr: 0.849885
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.62247, relres: 0.250794, relerr: 0.0947741
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.69484, relres: 0.432457, relerr: 1.24153
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.63302, relres: 0.316857, relerr: 0.084083
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.70552, relres: 0.433133, relerr: 0.110838
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.68894, relres: 0.387168, relerr: 1.03777
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.67136, relres: 0.36248, relerr: 0.754677
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.64794, relres: 0.377725, relerr: 1.20176
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.68016, relres: 0.221313, relerr: 0.132892
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.62822, relres: 0.361767, relerr: 0.08903
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.64866, relres: 0.201147, relerr: 0.0779394
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.63932, relres: 0.376673, relerr: 0.498059
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.65775, relres: 0.383642, relerr: 0.683027
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.66908, relres: 0.221986, relerr: 0.137425
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.63769, relres: 0.284277, relerr: 0.0680554
Wirtinger -> gaussian, real, eig_init, n: 256, m: 620, iter: 2500, t: 1.67053, relres: 0.201359, relerr: 0.126589
