GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.79151, relres: 0.625545, relerr: 1.35814
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.90822, relres: 0.627863, relerr: 1.38491
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.77899, relres: 0.648757, relerr: 1.35109
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.83069, relres: 0.649532, relerr: 1.50214
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.13754, relres: 0.600552, relerr: 1.39768
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.15352, relres: 0.5849, relerr: 1.4477
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.13892, relres: 0.721933, relerr: 1.26761
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 0.977198, relres: 0.66098, relerr: 1.37943
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.0919, relres: 0.684614, relerr: 1.34886
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.02874, relres: 0.68389, relerr: 1.38657
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.05774, relres: 0.60715, relerr: 1.41293
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.07176, relres: 0.689349, relerr: 1.40124
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.01716, relres: 0.668412, relerr: 1.33944
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.03772, relres: 0.665419, relerr: 1.3745
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.06065, relres: 0.624512, relerr: 1.39837
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.12802, relres: 0.655068, relerr: 1.49838
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.03566, relres: 0.65908, relerr: 1.3381
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.08745, relres: 0.693561, relerr: 1.40333
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.02931, relres: 0.652212, relerr: 1.24683
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.15001, relres: 0.621588, relerr: 1.33493
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.05785, relres: 0.627183, relerr: 1.4288
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.02919, relres: 0.644947, relerr: 1.48162
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.12387, relres: 0.614412, relerr: 1.38911
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.20512, relres: 0.648388, relerr: 1.32451
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.0048, relres: 0.61385, relerr: 1.48214
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.03744, relres: 0.654368, relerr: 1.44629
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.06064, relres: 0.545031, relerr: 1.36165
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.03982, relres: 0.624524, relerr: 1.41205
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.0324, relres: 0.602909, relerr: 1.36475
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.17711, relres: 0.620718, relerr: 1.38185
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.03731, relres: 0.561445, relerr: 1.34482
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.06773, relres: 0.581324, relerr: 1.39258
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.09367, relres: 0.613915, relerr: 1.38239
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.04536, relres: 0.659338, relerr: 1.37663
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.18386, relres: 0.646831, relerr: 1.4358
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.13522, relres: 0.59533, relerr: 1.42405
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.12035, relres: 0.654204, relerr: 1.42052
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.0972, relres: 0.685559, relerr: 1.36513
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.05184, relres: 0.621832, relerr: 1.42967
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.04575, relres: 0.68681, relerr: 1.36081
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.36178, relres: 0.581474, relerr: 1.30221
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.1299, relres: 0.59094, relerr: 1.4588
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.13288, relres: 0.683849, relerr: 1.32792
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.14722, relres: 0.612844, relerr: 1.45488
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.02438, relres: 0.614349, relerr: 1.40085
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.17345, relres: 0.633539, relerr: 1.4826
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.07561, relres: 0.619819, relerr: 1.24148
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.08052, relres: 0.652062, relerr: 1.40169
GerSax -> gaussian, real, rand_init, n: 256, m: 566, iter: 2500, t: 1.07784, relres: 0.627245, relerr: 1.3329
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.10606, relres: 0.621571, relerr: 1.43368
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.03983, relres: 0.672508, relerr: 1.40933
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.05454, relres: 0.667944, relerr: 1.38364
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.08765, relres: 0.659781, relerr: 1.36854
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.09265, relres: 0.702475, relerr: 1.3041
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.07842, relres: 0.692556, relerr: 1.34178
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.09627, relres: 0.618912, relerr: 1.26348
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.10373, relres: 0.634989, relerr: 1.43592
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.07574, relres: 0.707535, relerr: 1.38349
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.02093, relres: 0.693287, relerr: 1.29848
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.06677, relres: 0.604709, relerr: 1.36677
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.0691, relres: 0.672583, relerr: 1.28395
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.20232, relres: 0.667027, relerr: 1.25677
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.12646, relres: 0.672347, relerr: 1.33606
GerSax -> gaussian, real, rand_init, n: 256, m: 620, iter: 2500, t: 1.0859, relres: 0.647345, relerr: 1.16322
