Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 19.7467, relres: 0.731214, relerr: 1.80446
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 19.4674, relres: 0.733035, relerr: 1.60616
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 19.7681, relres: 0.720809, relerr: 1.69348
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 19.3602, relres: 0.694938, relerr: 1.64121
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 61, t: 2.60063, relres: 2.78568e-08, relerr: 3.90044e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 155, t: 6.58839, relres: 1.83289e-08, relerr: 2.44923e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 20.8264, relres: 0.752263, relerr: 1.50293
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 20.8108, relres: 0.905459, relerr: 1.5481
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 162, t: 6.84659, relres: 2.53571e-08, relerr: 4.1796e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 20.7715, relres: 0.873344, relerr: 1.60421
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 451, t: 18.7095, relres: 2.35129e-08, relerr: 3.51284e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 42, t: 1.72859, relres: 3.44766e-08, relerr: 5.60823e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 124, t: 4.87003, relres: 3.46206e-08, relerr: 5.21249e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.3302, relres: 0.815488, relerr: 1.25624
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.3866, relres: 0.380795, relerr: 0.528555
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.5026, relres: 0.828468, relerr: 1.35866
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.2327, relres: 0.963067, relerr: 1.54753
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.4051, relres: 0.708232, relerr: 1.67698
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.3889, relres: 0.745319, relerr: 1.39139
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.4478, relres: 0.941725, relerr: 1.66507
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.3072, relres: 0.852857, relerr: 1.38903
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 187, t: 7.42982, relres: 3.31256e-08, relerr: 5.78754e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.3461, relres: 0.945127, relerr: 1.48755
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.5648, relres: 0.815628, relerr: 1.4621
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 243, t: 9.51332, relres: 3.57522e-08, relerr: 6.29153e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.3329, relres: 0.809361, relerr: 1.3553
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 418, t: 16.1509, relres: 3.06967e-08, relerr: 4.24753e-08
Block Kaczmarz-128 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 19.3844, relres: 0.908003, relerr: 1.66644
