Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.17436, relres: 0.548785, relerr: 1.39062
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.72372, relres: 0.523814, relerr: 1.30885
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.20345, relres: 0.55482, relerr: 1.55795
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.61312, relres: 0.636014, relerr: 1.44042
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.13842, relres: 0.563761, relerr: 1.3318
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.67194, relres: 0.5627, relerr: 1.33276
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.29949, relres: 0.590186, relerr: 1.49497
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 9.05596, relres: 0.545732, relerr: 1.23682
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.95183, relres: 0.710238, relerr: 1.50612
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.39369, relres: 0.58955, relerr: 1.33014
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.53238, relres: 0.632867, relerr: 1.21834
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.47914, relres: 0.571895, relerr: 1.36216
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.56281, relres: 0.617765, relerr: 1.5695
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.33309, relres: 0.617718, relerr: 1.45846
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.52527, relres: 0.584275, relerr: 1.56466
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.66488, relres: 0.567701, relerr: 1.33303
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.92403, relres: 0.549499, relerr: 1.48017
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.47126, relres: 0.56605, relerr: 1.3345
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.575, relres: 0.564035, relerr: 1.38947
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.34346, relres: 0.49831, relerr: 1.18624
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.72245, relres: 0.533776, relerr: 1.60312
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.54211, relres: 0.545702, relerr: 1.62951
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.58956, relres: 0.57121, relerr: 1.47198
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.36486, relres: 0.556189, relerr: 1.35944
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.95963, relres: 0.601079, relerr: 1.37927
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.56996, relres: 0.544488, relerr: 1.34847
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.08342, relres: 0.582511, relerr: 1.45305
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.62719, relres: 0.544612, relerr: 1.51278
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.94684, relres: 0.608835, relerr: 1.29806
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.22403, relres: 0.514608, relerr: 1.24307
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.5497, relres: 0.547194, relerr: 1.39883
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.70943, relres: 0.624929, relerr: 1.40732
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.98444, relres: 0.55697, relerr: 1.38173
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.4298, relres: 0.630911, relerr: 1.43076
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.58243, relres: 0.573266, relerr: 1.49151
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.20378, relres: 0.54305, relerr: 1.0621
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.69174, relres: 0.592363, relerr: 1.39203
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.17941, relres: 0.56844, relerr: 1.40946
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.20773, relres: 0.428855, relerr: 1.04354
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.18515, relres: 0.596167, relerr: 1.52018
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.01244, relres: 0.569936, relerr: 1.32767
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.6215, relres: 0.547852, relerr: 1.27921
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.97367, relres: 0.580387, relerr: 1.4504
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.68073, relres: 0.563734, relerr: 1.0844
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.0023, relres: 0.596241, relerr: 1.50328
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 50, t: 0.953799, relres: 5.80996e-10, relerr: 1.03151e-09
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 7.99118, relres: 0.486912, relerr: 1.13518
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.39939, relres: 0.592493, relerr: 1.53413
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.05812, relres: 0.61184, relerr: 1.39767
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 8.44359, relres: 0.350697, relerr: 0.625987
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.68664, relres: 0.489665, relerr: 0.986039
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.72372, relres: 0.623194, relerr: 1.21897
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 9.04414, relres: 0.698411, relerr: 1.44826
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.24968, relres: 0.6039, relerr: 1.45356
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.95574, relres: 0.65503, relerr: 1.51367
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.58207, relres: 0.496256, relerr: 1.03661
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.89095, relres: 0.604323, relerr: 1.33699
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.27073, relres: 0.627099, relerr: 1.50332
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.91056, relres: 0.668216, relerr: 1.43004
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.80229, relres: 0.654911, relerr: 1.55489
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.92722, relres: 0.617861, relerr: 1.53208
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.25534, relres: 0.583181, relerr: 1.58218
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 9.03332, relres: 0.597146, relerr: 1.41257
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.20009, relres: 0.530314, relerr: 0.927283
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 9.08751, relres: 0.606374, relerr: 1.29445
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.23833, relres: 0.513108, relerr: 1.20793
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.84791, relres: 0.590913, relerr: 1.38019
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.23846, relres: 0.531716, relerr: 1.12531
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 9.32443, relres: 0.636096, relerr: 1.39438
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.51768, relres: 0.591545, relerr: 1.50961
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.86396, relres: 0.579298, relerr: 1.31468
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.52391, relres: 0.55742, relerr: 1.11611
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.86681, relres: 0.699893, relerr: 1.50824
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 45, t: 0.839353, relres: 3.41814e-10, relerr: 5.95618e-10
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 9.31379, relres: 0.616146, relerr: 1.37879
Kaczmarz -> gaussian, real, rand_init, n: 256, m: 620, iter: 500, t: 8.4795, relres: 0.562155, relerr: 1.31803
