GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.02491, relres: 0.685762, relerr: 1.06454
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.0301, relres: 0.521534, relerr: 1.03543
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.04357, relres: 0.501216, relerr: 0.853381
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09002, relres: 0.512562, relerr: 0.88964
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09649, relres: 0.446552, relerr: 0.892052
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.13087, relres: 0.654973, relerr: 1.11594
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09385, relres: 0.56061, relerr: 0.921961
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.04272, relres: 0.731199, relerr: 1.05241
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09237, relres: 0.71545, relerr: 1.02838
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.09978, relres: 0.694539, relerr: 0.992485
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.07659, relres: 0.600718, relerr: 1.16621
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.08169, relres: 0.552815, relerr: 0.843551
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.1001, relres: 0.504135, relerr: 0.921979
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.05827, relres: 0.678605, relerr: 1.18733
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.06399, relres: 0.593631, relerr: 1.01133
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.02001, relres: 0.550762, relerr: 0.928038
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.06627, relres: 0.535848, relerr: 0.959685
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.0671, relres: 0.529001, relerr: 0.976705
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.03143, relres: 0.534968, relerr: 0.891687
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.01987, relres: 0.507117, relerr: 0.845568
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.02982, relres: 0.506316, relerr: 1.0331
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.05629, relres: 0.643378, relerr: 1.2577
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.02289, relres: 0.566403, relerr: 1.0694
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.01575, relres: 0.657224, relerr: 1.09492
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.04089, relres: 0.594677, relerr: 1.10631
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.05837, relres: 0.508549, relerr: 1.00002
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.07431, relres: 0.67282, relerr: 1.2591
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.06493, relres: 0.448553, relerr: 0.843202
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.04011, relres: 0.719063, relerr: 1.07285
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.01531, relres: 0.543958, relerr: 0.980726
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.04026, relres: 0.519077, relerr: 1.00099
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.08027, relres: 0.513517, relerr: 0.916909
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.0754, relres: 0.66565, relerr: 1.12738
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.11355, relres: 0.576166, relerr: 0.977047
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.03984, relres: 0.716011, relerr: 1.06227
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.0711, relres: 0.610109, relerr: 1.21583
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.08086, relres: 0.680996, relerr: 1.1569
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.0406, relres: 0.511991, relerr: 0.746336
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.03557, relres: 0.434389, relerr: 0.83711
GerSax -> gaussian, real, eig_init, n: 256, m: 566, iter: 2500, t: 1.01339, relres: 0.546233, relerr: 0.905474
