GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 19.9811, relres: 0.0680593, relerr: 1.41787
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.242, relres: 0.0594455, relerr: 1.516
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.4947, relres: 0.0589734, relerr: 1.31793
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.4597, relres: 0.0532131, relerr: 1.45297
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.3073, relres: 0.0533172, relerr: 1.59501
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.2736, relres: 0.0628156, relerr: 1.49056
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.7333, relres: 0.0577226, relerr: 1.59843
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.68, relres: 0.0607858, relerr: 1.3613
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.0893, relres: 0.0576236, relerr: 1.24487
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.4209, relres: 0.0545132, relerr: 1.43771
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.6834, relres: 0.0576338, relerr: 1.29587
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.5923, relres: 0.0657797, relerr: 1.45117
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.599, relres: 0.0471074, relerr: 1.14528
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.4351, relres: 0.0560965, relerr: 1.3803
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.884, relres: 0.0459346, relerr: 1.37178
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.6872, relres: 0.0639901, relerr: 1.48861
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.3661, relres: 0.0594089, relerr: 1.37761
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.069, relres: 0.0692035, relerr: 1.40094
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.2222, relres: 0.0555421, relerr: 1.30879
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.6042, relres: 0.0626158, relerr: 1.2981
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.4024, relres: 0.0408187, relerr: 1.20834
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.5529, relres: 0.0825625, relerr: 1.44451
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.7546, relres: 0.0659526, relerr: 1.19615
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.1173, relres: 0.0414564, relerr: 1.19053
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.5982, relres: 0.050915, relerr: 1.16301
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.3126, relres: 0.0502605, relerr: 1.49628
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.8829, relres: 0.0716685, relerr: 1.50893
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 19.7564, relres: 0.0750048, relerr: 1.41081
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.0656, relres: 0.0679962, relerr: 1.38505
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.2237, relres: 0.0576185, relerr: 1.27839
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 19.8055, relres: 0.0485066, relerr: 1.1504
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.3926, relres: 0.0595713, relerr: 1.33374
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.2084, relres: 0.0598737, relerr: 1.54291
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.7705, relres: 0.0588413, relerr: 1.45586
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.8653, relres: 0.0578025, relerr: 1.2495
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.8596, relres: 0.0554954, relerr: 1.06293
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.039, relres: 0.0504628, relerr: 1.13264
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.0442, relres: 0.0524881, relerr: 1.42989
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 19.7936, relres: 0.0800868, relerr: 1.47118
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.6787, relres: 0.0551289, relerr: 1.39775
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 19.3697, relres: 0.0517154, relerr: 1.16156
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.2388, relres: 0.047817, relerr: 1.21704
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.5998, relres: 0.0583964, relerr: 1.49802
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.9305, relres: 0.0643936, relerr: 1.36473
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 19.0989, relres: 0.0580783, relerr: 1.33601
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.4652, relres: 0.0556129, relerr: 1.22206
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.435, relres: 0.068793, relerr: 1.16922
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.7675, relres: 0.0503969, relerr: 1.26449
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 20.5119, relres: 0.0659287, relerr: 1.45213
GerSax -> gaussian, complex, eig_init, n: 256, m: 566, iter: 2500, t: 21.1717, relres: 0.0652873, relerr: 1.23183
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 19.3323, relres: 0.0775933, relerr: 0.890326
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 19.8925, relres: 0.104629, relerr: 1.52735
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 19.8986, relres: 0.0978587, relerr: 1.41153
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 20.3432, relres: 0.0853051, relerr: 1.45604
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 19.2978, relres: 0.0934502, relerr: 1.22854
GerSax -> gaussian, complex, eig_init, n: 256, m: 620, iter: 2500, t: 19.932, relres: 0.0903426, relerr: 1.15986
