Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.97002, relres: 0.549116, relerr: 1.19573
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 42, t: 1.05361, relres: 3.41853e-08, relerr: 5.8011e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 6.9461, relres: 0.528947, relerr: 1.17302
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 7.02667, relres: 0.582016, relerr: 1.17394
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 36, t: 0.979148, relres: 3.12127e-08, relerr: 5.09754e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 32, t: 0.853959, relres: 3.78098e-08, relerr: 5.95444e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.68232, relres: 0.566007, relerr: 1.15151
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.67517, relres: 0.477373, relerr: 0.94775
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 35, t: 0.95183, relres: 3.13804e-08, relerr: 4.66406e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 29, t: 0.799111, relres: 3.75361e-08, relerr: 5.71015e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.70502, relres: 0.574082, relerr: 1.45796
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.8934, relres: 0.463421, relerr: 0.867433
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.64759, relres: 0.616608, relerr: 1.44143
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.69487, relres: 0.594448, relerr: 1.28271
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.69661, relres: 0.600242, relerr: 1.03881
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.81925, relres: 0.637185, relerr: 1.33565
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.60512, relres: 0.382607, relerr: 0.793649
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.6771, relres: 0.517636, relerr: 1.05972
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.69939, relres: 0.589894, relerr: 1.57465
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.66548, relres: 0.384763, relerr: 0.896749
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.69141, relres: 0.599129, relerr: 1.0929
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.83859, relres: 0.447799, relerr: 0.916245
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.81379, relres: 0.443844, relerr: 0.868129
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 33, t: 0.896412, relres: 4.75377e-08, relerr: 8.16956e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.74817, relres: 0.505134, relerr: 1.05347
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 35, t: 0.974043, relres: 4.01682e-08, relerr: 7.0364e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.68276, relres: 0.651836, relerr: 1.52445
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 33, t: 0.883307, relres: 2.17791e-08, relerr: 3.57589e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.60838, relres: 0.524873, relerr: 0.996146
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.64688, relres: 0.758325, relerr: 1.38182
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.8274, relres: 0.402266, relerr: 0.701902
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.68002, relres: 0.646003, relerr: 1.50591
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.63574, relres: 0.48406, relerr: 0.896978
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.61085, relres: 0.470331, relerr: 1.03237
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.7896, relres: 0.520508, relerr: 1.08389
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.98878, relres: 0.423155, relerr: 0.686389
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 33, t: 0.899233, relres: 3.38474e-08, relerr: 5.52406e-08
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.81072, relres: 0.573909, relerr: 1.21959
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.67315, relres: 0.480206, relerr: 0.919268
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.67097, relres: 0.608554, relerr: 1.4132
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.75709, relres: 0.595243, relerr: 1.32114
Block Kaczmarz-64 -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 7.64291, relres: 0.552668, relerr: 1.11697
