Kaczmarz -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 4.28784, relres: 0.404188, relerr: 0.759546
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 44, t: 0.841182, relres: 1.14441e-09, relerr: 1.80134e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 47, t: 0.742694, relres: 1.56383e-10, relerr: 2.87668e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 4.99001, relres: 0.325603, relerr: 0.558998
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 61, t: 1.16727, relres: 3.03404e-10, relerr: 4.8438e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 40, t: 0.830499, relres: 1.03335e-09, relerr: 1.86172e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 49, t: 0.824281, relres: 4.17268e-10, relerr: 7.45246e-10
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.39, relres: 0.484433, relerr: 0.871261
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 4.78961, relres: 0.490933, relerr: 0.977755
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.02959, relres: 0.532824, relerr: 1.03972
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 55, t: 0.944296, relres: 3.0064e-11, relerr: 5.12914e-11
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.82591, relres: 0.333772, relerr: 0.683686
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.35009, relres: 0.469899, relerr: 0.904197
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.66743, relres: 0.35603, relerr: 0.699187
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 44, t: 0.796098, relres: 8.57854e-10, relerr: 1.40584e-09
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.49478, relres: 0.558583, relerr: 1.22815
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 4.62089, relres: 0.494223, relerr: 1.09412
Kaczmarz -> gaussian, real, eig_init, n: 256, m: 566, iter: 300, t: 5.00255, relres: 0.486511, relerr: 0.952802
