Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8213, relres: 0.287343, relerr: 1.7234
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8024, relres: 0.361794, relerr: 1.62701
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.9093, relres: 0.291207, relerr: 1.66979
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8097, relres: 0.251467, relerr: 1.64911
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.767, relres: 0.311278, relerr: 1.53666
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8202, relres: 0.356683, relerr: 1.68222
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.7203, relres: 0.323622, relerr: 1.68434
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 24.0872, relres: 0.358744, relerr: 1.68155
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8895, relres: 0.298959, relerr: 1.70123
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.9244, relres: 0.207924, relerr: 1.57467
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.7127, relres: 0.339732, relerr: 1.73249
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.837, relres: 0.310646, relerr: 1.6397
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.9016, relres: 0.280369, relerr: 1.72152
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.848, relres: 0.289641, relerr: 1.59109
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8264, relres: 0.345505, relerr: 1.52891
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8948, relres: 0.376514, relerr: 1.72381
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8723, relres: 0.327399, relerr: 1.58171
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.862, relres: 0.339539, relerr: 1.60751
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.7531, relres: 0.315473, relerr: 1.6792
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.7922, relres: 0.278625, relerr: 1.75816
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.9366, relres: 0.31994, relerr: 1.63465
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8164, relres: 0.352171, relerr: 1.73728
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.9522, relres: 0.285451, relerr: 1.5721
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8945, relres: 0.306258, relerr: 1.57678
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8366, relres: 0.386499, relerr: 1.59022
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.7846, relres: 0.344151, relerr: 1.67399
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.7112, relres: 0.306036, relerr: 1.68101
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.9252, relres: 0.310045, relerr: 1.6951
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8563, relres: 0.373495, relerr: 1.64299
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8086, relres: 0.301971, relerr: 1.65222
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8684, relres: 0.294554, relerr: 1.67058
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.7823, relres: 0.39714, relerr: 1.79821
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.9004, relres: 0.276304, relerr: 1.69666
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.999, relres: 0.286153, relerr: 1.64168
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.7917, relres: 0.290869, relerr: 1.59478
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.9218, relres: 0.367342, relerr: 1.64165
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8236, relres: 0.300898, relerr: 1.62025
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.7799, relres: 0.344411, relerr: 1.57376
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.7745, relres: 0.27093, relerr: 1.61701
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.7795, relres: 0.295159, relerr: 1.72391
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8391, relres: 0.316538, relerr: 1.65676
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.7764, relres: 0.362311, relerr: 1.60462
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8275, relres: 0.327335, relerr: 1.54759
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8182, relres: 0.275974, relerr: 1.66045
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.865, relres: 0.292455, relerr: 1.62655
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8677, relres: 0.342991, relerr: 1.76959
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8516, relres: 0.271621, relerr: 1.65555
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8225, relres: 0.459357, relerr: 1.77235
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8342, relres: 0.311001, relerr: 1.61016
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 23.8537, relres: 0.326016, relerr: 1.67639
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3874, relres: 0.400477, relerr: 1.55382
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3213, relres: 0.392629, relerr: 1.58225
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.4291, relres: 0.344661, relerr: 1.54104
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3648, relres: 0.368606, relerr: 1.54908
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3829, relres: 0.406372, relerr: 1.61847
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.475, relres: 0.449611, relerr: 1.60569
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3681, relres: 0.439461, relerr: 1.64332
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.4159, relres: 0.417289, relerr: 1.66315
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.4121, relres: 0.370179, relerr: 1.7072
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.6888, relres: 0.360412, relerr: 1.55781
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3417, relres: 0.444874, relerr: 1.60449
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.356, relres: 0.380194, relerr: 1.56059
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3902, relres: 0.407704, relerr: 1.62579
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.4038, relres: 0.367641, relerr: 1.63974
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3812, relres: 0.32837, relerr: 1.44077
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.2692, relres: 0.436289, relerr: 1.64235
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3079, relres: 0.362617, relerr: 1.71886
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3205, relres: 0.37535, relerr: 1.58507
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.384, relres: 0.395204, relerr: 1.49455
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3515, relres: 0.321544, relerr: 1.71877
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.355, relres: 0.378066, relerr: 1.58941
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3835, relres: 0.368432, relerr: 1.64793
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3866, relres: 0.385349, relerr: 1.37777
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3532, relres: 0.359396, relerr: 1.5664
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.4396, relres: 0.391993, relerr: 1.62696
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3776, relres: 0.353087, relerr: 1.66819
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3838, relres: 0.3405, relerr: 1.62627
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3896, relres: 0.380296, relerr: 1.58421
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3558, relres: 0.402192, relerr: 1.60507
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.4008, relres: 0.320368, relerr: 1.54377
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.4319, relres: 0.39752, relerr: 1.67
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3861, relres: 0.410056, relerr: 1.64898
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.4364, relres: 0.36848, relerr: 1.66104
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.404, relres: 0.410477, relerr: 1.66485
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.4437, relres: 0.398359, relerr: 1.59388
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3182, relres: 0.386977, relerr: 1.57091
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3783, relres: 0.353556, relerr: 1.62485
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3368, relres: 0.433895, relerr: 1.57142
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.4388, relres: 0.417951, relerr: 1.62637
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3328, relres: 0.388053, relerr: 1.57131
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3919, relres: 0.423838, relerr: 1.58498
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3438, relres: 0.433872, relerr: 1.69036
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.8162, relres: 0.436811, relerr: 1.61049
Block Kaczmarz-128 -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 25.3562, relres: 0.312083, relerr: 1.51322
