Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 8.99121, relres: 0.473107, relerr: 1.46179
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.36999, relres: 0.537726, relerr: 1.37592
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.21172, relres: 0.597973, relerr: 1.44595
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.20824, relres: 0.570127, relerr: 1.50857
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 12.087, relres: 0.476389, relerr: 1.30638
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.2132, relres: 0.490663, relerr: 1.15848
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.87568, relres: 0.598564, relerr: 1.49444
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.4745, relres: 0.505178, relerr: 1.59481
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.38988, relres: 0.565345, relerr: 1.42444
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.1855, relres: 0.651611, relerr: 1.5792
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.75039, relres: 0.47961, relerr: 1.3597
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.8799, relres: 0.529799, relerr: 1.47021
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 15.8497, relres: 0.519282, relerr: 1.29982
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.5747, relres: 0.567069, relerr: 1.43618
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.84464, relres: 0.560534, relerr: 1.37319
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.6486, relres: 0.52433, relerr: 1.46383
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.26161, relres: 0.512882, relerr: 1.40154
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.2492, relres: 0.555072, relerr: 1.50391
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.01353, relres: 0.449836, relerr: 1.09412
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.04618, relres: 0.632697, relerr: 1.57976
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.10186, relres: 0.545883, relerr: 1.44363
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.2229, relres: 0.643115, relerr: 1.5317
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 11.3638, relres: 0.604122, relerr: 1.6425
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.1166, relres: 0.527444, relerr: 1.43341
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.02491, relres: 0.613205, relerr: 1.4661
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.33914, relres: 0.641149, relerr: 1.53788
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.72936, relres: 0.585108, relerr: 1.66143
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.5812, relres: 0.519803, relerr: 1.42698
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.54034, relres: 0.508122, relerr: 1.48644
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.1129, relres: 0.590771, relerr: 1.42002
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.05663, relres: 0.54197, relerr: 1.66618
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.25, relres: 0.57275, relerr: 1.41312
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.734, relres: 0.578435, relerr: 1.60527
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.31914, relres: 0.63745, relerr: 1.4797
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.43341, relres: 0.554417, relerr: 1.39508
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.69862, relres: 0.518658, relerr: 1.39254
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.5552, relres: 0.52945, relerr: 1.47398
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.50091, relres: 0.571501, relerr: 1.52548
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.9089, relres: 0.564618, relerr: 1.51653
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.9726, relres: 0.539662, relerr: 1.53146
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.2611, relres: 0.568244, relerr: 1.4879
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 10.5049, relres: 0.545324, relerr: 1.49794
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.97011, relres: 0.55172, relerr: 1.36434
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.64145, relres: 0.536382, relerr: 1.49815
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.68007, relres: 0.606127, relerr: 1.38337
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.50363, relres: 0.580393, relerr: 1.59879
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.85463, relres: 0.591964, relerr: 1.43085
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.62325, relres: 0.645574, relerr: 1.54383
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.59892, relres: 0.606227, relerr: 1.43865
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 9.52819, relres: 0.520279, relerr: 1.56169
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 10.6751, relres: 0.650888, relerr: 1.43084
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 10.6251, relres: 0.587295, relerr: 1.38221
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 10.8644, relres: 0.690471, relerr: 1.46637
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 10.5598, relres: 0.51981, relerr: 1.07413
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 10.5835, relres: 0.581481, relerr: 1.23154
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 10.6891, relres: 0.627868, relerr: 1.47188
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 10.5678, relres: 0.585019, relerr: 1.61882
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 10.5181, relres: 0.524807, relerr: 1.12113
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 9.95321, relres: 0.625187, relerr: 1.53617
Block Kaczmarz-32 -> gaussian, real, rand_init, n: 256, m: 566, iter: 500, t: 9.88135, relres: 0.58898, relerr: 1.50002
