Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 11.442, relres: 0.63287, relerr: 1.57129
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 11.6012, relres: 0.652191, relerr: 1.47649
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 11.7466, relres: 0.574783, relerr: 1.55166
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 11.7358, relres: 0.63003, relerr: 1.5934
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 16.5193, relres: 0.547908, relerr: 1.55745
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 13.5103, relres: 0.658784, relerr: 1.41474
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 12.9057, relres: 0.472354, relerr: 1.39245
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 13.0722, relres: 0.519956, relerr: 1.52086
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 12.5882, relres: 0.622698, relerr: 1.50752
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 11.7684, relres: 0.625332, relerr: 1.43603
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 12.9614, relres: 0.56244, relerr: 1.49473
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 12.6188, relres: 0.513397, relerr: 1.58239
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 16.2859, relres: 0.521279, relerr: 1.60797
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 14.33, relres: 0.587554, relerr: 1.50078
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 12.6667, relres: 0.618668, relerr: 1.59794
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 12.4191, relres: 0.560742, relerr: 1.60893
Block Kaczmarz-64 -> gaussian, real, rand_init, n: 256, m: 512, iter: 500, t: 12.7188, relres: 0.60208, relerr: 1.36661
