Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.33597, relres: 0.0401842, relerr: 1.37892
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 512, iter: 300, t: 6.671, relres: 0.0468351, relerr: 1.51488
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.87321, relres: 0.0953193, relerr: 1.41956
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.78563, relres: 0.0985054, relerr: 1.07566
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.53789, relres: 0.0775228, relerr: 1.11967
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.83438, relres: 0.0937786, relerr: 1.2521
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.34478, relres: 0.101927, relerr: 1.49171
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.85206, relres: 0.0955267, relerr: 1.31633
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.88334, relres: 0.0963628, relerr: 1.53498
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.24215, relres: 0.0913702, relerr: 1.39263
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.53642, relres: 0.105872, relerr: 1.21002
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.28596, relres: 0.102743, relerr: 1.41163
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.44724, relres: 0.115338, relerr: 1.26015
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.73126, relres: 0.105157, relerr: 1.34281
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.7863, relres: 0.0691532, relerr: 1.00681
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.43653, relres: 0.0918478, relerr: 1.26191
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.39541, relres: 0.0732992, relerr: 1.16003
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.85734, relres: 0.113135, relerr: 1.47763
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.45447, relres: 0.0777565, relerr: 1.2454
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 8.9616, relres: 0.0710792, relerr: 1.2098
Kaczmarz -> gaussian, complex, eig_init, n: 256, m: 566, iter: 300, t: 7.5914, relres: 0.109099, relerr: 1.33712
