GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.8425, relres: 0.0721598, relerr: 1.48559
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.2463, relres: 0.0598018, relerr: 1.4695
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.1047, relres: 0.0548503, relerr: 1.6019
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.9555, relres: 0.0675318, relerr: 1.56775
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.6035, relres: 0.0664082, relerr: 1.53369
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.6628, relres: 0.0662676, relerr: 1.55998
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.8047, relres: 0.0596282, relerr: 1.59622
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.8786, relres: 0.0750144, relerr: 1.58663
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.1414, relres: 0.0694938, relerr: 1.61986
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 20.5239, relres: 0.0693495, relerr: 1.54211
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 20.5039, relres: 0.0723572, relerr: 1.55931
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.5487, relres: 0.0690013, relerr: 1.62502
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.8763, relres: 0.0593259, relerr: 1.47592
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.5928, relres: 0.0535039, relerr: 1.61583
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.151, relres: 0.081146, relerr: 1.5737
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.3165, relres: 0.0664589, relerr: 1.66277
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 20.7134, relres: 0.0752344, relerr: 1.44682
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.5054, relres: 0.0736413, relerr: 1.52302
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.866, relres: 0.0612264, relerr: 1.5396
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 23.6934, relres: 0.0647412, relerr: 1.55756
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.9311, relres: 0.0752351, relerr: 1.6343
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.6548, relres: 0.0562086, relerr: 1.53229
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 23.3405, relres: 0.0828936, relerr: 1.46935
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.9152, relres: 0.0668553, relerr: 1.60006
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.1978, relres: 0.0848017, relerr: 1.60801
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.095, relres: 0.077954, relerr: 1.62816
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.4491, relres: 0.0764242, relerr: 1.59932
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 25.6955, relres: 0.0663519, relerr: 1.48863
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.0451, relres: 0.0767151, relerr: 1.6435
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.4332, relres: 0.0580381, relerr: 1.436
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 23.1597, relres: 0.0662619, relerr: 1.54611
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 23.0884, relres: 0.0692087, relerr: 1.6131
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.7621, relres: 0.0588727, relerr: 1.53126
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 23.732, relres: 0.059967, relerr: 1.54829
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 23.2072, relres: 0.0660068, relerr: 1.6321
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.2212, relres: 0.0641752, relerr: 1.60801
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 23.4411, relres: 0.070317, relerr: 1.56901
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.3176, relres: 0.0704178, relerr: 1.62756
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.8267, relres: 0.0740654, relerr: 1.54556
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 24.6723, relres: 0.0628172, relerr: 1.58978
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 23.78, relres: 0.062392, relerr: 1.47414
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 23.127, relres: 0.0665754, relerr: 1.54729
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.9205, relres: 0.0699708, relerr: 1.61968
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 23.111, relres: 0.0756297, relerr: 1.63139
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 24.8183, relres: 0.0762975, relerr: 1.52039
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 24.2243, relres: 0.0583751, relerr: 1.51214
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.7523, relres: 0.0656887, relerr: 1.55162
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 20.3487, relres: 0.0709428, relerr: 1.52062
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 22.2591, relres: 0.0583063, relerr: 1.49905
GerSax -> gaussian, complex, rand_init, n: 256, m: 566, iter: 2500, t: 21.1019, relres: 0.0581628, relerr: 1.54003
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.3261, relres: 0.121095, relerr: 1.63728
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.2161, relres: 0.0967039, relerr: 1.43748
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.0413, relres: 0.110004, relerr: 1.44605
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.7618, relres: 0.0805749, relerr: 1.47135
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.3763, relres: 0.0952203, relerr: 1.40554
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 18.7642, relres: 0.108181, relerr: 1.56092
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.9938, relres: 0.0983934, relerr: 1.55953
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.7334, relres: 0.102367, relerr: 1.44941
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.4876, relres: 0.106164, relerr: 1.5469
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.6376, relres: 0.0881051, relerr: 1.60695
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.6496, relres: 0.114597, relerr: 1.42828
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.7042, relres: 0.10873, relerr: 1.53338
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.6203, relres: 0.109788, relerr: 1.47581
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 18.9517, relres: 0.109492, relerr: 1.47524
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.7967, relres: 0.127455, relerr: 1.60058
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.2935, relres: 0.104655, relerr: 1.5478
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.4111, relres: 0.106601, relerr: 1.46434
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 21.0316, relres: 0.112814, relerr: 1.40674
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 18.7969, relres: 0.10711, relerr: 1.45895
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 18.5454, relres: 0.0969704, relerr: 1.49081
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.5153, relres: 0.109607, relerr: 1.52569
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.9923, relres: 0.106611, relerr: 1.60093
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.7842, relres: 0.12736, relerr: 1.54812
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.535, relres: 0.101632, relerr: 1.47313
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.8575, relres: 0.101725, relerr: 1.35583
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.5598, relres: 0.133692, relerr: 1.50557
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.6984, relres: 0.105872, relerr: 1.44614
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.3839, relres: 0.102612, relerr: 1.41454
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.3679, relres: 0.116672, relerr: 1.49648
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.9354, relres: 0.104938, relerr: 1.46026
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.2657, relres: 0.115571, relerr: 1.53358
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.3219, relres: 0.0905961, relerr: 1.55021
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.3556, relres: 0.110342, relerr: 1.47413
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.6394, relres: 0.0973172, relerr: 1.40517
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.022, relres: 0.0991802, relerr: 1.41718
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.4628, relres: 0.107699, relerr: 1.47752
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 21.0496, relres: 0.097778, relerr: 1.38337
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.6456, relres: 0.116877, relerr: 1.4626
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.9516, relres: 0.106306, relerr: 1.41018
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.6688, relres: 0.116773, relerr: 1.64436
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.7326, relres: 0.111257, relerr: 1.62453
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.3118, relres: 0.111964, relerr: 1.54022
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.4928, relres: 0.111071, relerr: 1.52544
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.6108, relres: 0.074392, relerr: 1.31586
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 18.6966, relres: 0.121395, relerr: 1.60873
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 20.3911, relres: 0.10744, relerr: 1.50967
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.5483, relres: 0.10677, relerr: 1.54357
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.8617, relres: 0.103844, relerr: 1.51288
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 18.0259, relres: 0.0982893, relerr: 1.41607
GerSax -> gaussian, complex, rand_init, n: 256, m: 620, iter: 2500, t: 19.9017, relres: 0.114592, relerr: 1.46038
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.2149, relres: 0.158785, relerr: 1.51465
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.505, relres: 0.146529, relerr: 1.32385
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.897, relres: 0.142562, relerr: 1.37921
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.1492, relres: 0.128962, relerr: 1.27875
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.7484, relres: 0.148027, relerr: 1.46986
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.6467, relres: 0.134986, relerr: 1.54948
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.6286, relres: 0.144661, relerr: 1.62445
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.7096, relres: 0.144246, relerr: 1.50668
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.793, relres: 0.128776, relerr: 1.49008
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.2281, relres: 0.140048, relerr: 1.49384
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.2052, relres: 0.15588, relerr: 1.43474
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.5273, relres: 0.136791, relerr: 1.47662
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.8046, relres: 0.141018, relerr: 1.44426
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 17.6363, relres: 0.139651, relerr: 1.55773
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.5466, relres: 0.149239, relerr: 1.52892
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.3729, relres: 0.131147, relerr: 1.16555
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 16.8357, relres: 0.152366, relerr: 1.52417
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.2789, relres: 0.134298, relerr: 1.51758
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.3478, relres: 0.133157, relerr: 1.42956
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.8217, relres: 0.133437, relerr: 1.43316
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.3811, relres: 0.139069, relerr: 1.63202
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.8308, relres: 0.154675, relerr: 1.46936
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.4784, relres: 0.152649, relerr: 1.59947
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.1353, relres: 0.141099, relerr: 1.57258
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.2075, relres: 0.142319, relerr: 1.48283
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.664, relres: 0.15153, relerr: 1.31379
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.6086, relres: 0.138573, relerr: 1.42268
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.6216, relres: 0.135561, relerr: 1.58154
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.1134, relres: 0.152005, relerr: 1.5016
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.1164, relres: 0.151146, relerr: 1.47819
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.3165, relres: 0.155993, relerr: 1.48547
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 16.8744, relres: 0.159104, relerr: 1.44193
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.6082, relres: 0.132178, relerr: 1.39433
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 16.9791, relres: 0.143288, relerr: 1.46808
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 17.6466, relres: 0.13393, relerr: 1.5027
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.5545, relres: 0.166167, relerr: 1.43917
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 16.454, relres: 0.135023, relerr: 1.48611
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 17.6082, relres: 0.171857, relerr: 1.43004
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.0577, relres: 0.150768, relerr: 1.48204
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.4178, relres: 0.139689, relerr: 1.54016
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 17.9132, relres: 0.151599, relerr: 1.58103
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.6775, relres: 0.14228, relerr: 1.46999
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.8233, relres: 0.153955, relerr: 1.45611
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.6015, relres: 0.128403, relerr: 1.4838
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.074, relres: 0.130453, relerr: 1.60101
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 15.5953, relres: 0.143825, relerr: 1.5653
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.9101, relres: 0.145454, relerr: 1.51334
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.0564, relres: 0.148711, relerr: 1.51316
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 18.0367, relres: 0.134849, relerr: 1.53541
GerSax -> gaussian, complex, rand_init, n: 256, m: 674, iter: 2500, t: 19.3257, relres: 0.147735, relerr: 1.60516
