Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.0383, relres: 15700.2, relerr: 151.9
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.0922, relres: 17482.6, relerr: 171.985
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.0652, relres: 139.841, relerr: 13.3274
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.0545, relres: 48.966, relerr: 7.67393
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 16.9703, relres: 901.316, relerr: 32.5997
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.0727, relres: 34.8362, relerr: 6.94118
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.0962, relres: 33.5191, relerr: 6.85216
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.1168, relres: 234.359, relerr: 18.4842
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.1246, relres: 392.086, relerr: 23.0988
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.107, relres: 947.081, relerr: 38.2604
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.0584, relres: 97.8479, relerr: 12.1196
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.1228, relres: 2575.12, relerr: 60.4648
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.142, relres: 109.04, relerr: 14.7017
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.189, relres: 137.663, relerr: 13.1641
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.0861, relres: 51439.4, relerr: 273.641
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.191, relres: 38.6916, relerr: 7.55248
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.0295, relres: 18617.6, relerr: 163.672
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.0623, relres: 493.992, relerr: 24.6585
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.0208, relres: 22.2779, relerr: 5.48771
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.1383, relres: 84.2527, relerr: 12.5173
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 16.9962, relres: 56.4504, relerr: 9.55145
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.1008, relres: 331.548, relerr: 19.4471
Block Kaczmarz-256 -> gaussian, real, eig_init, n: 256, m: 512, iter: 300, t: 17.0672, relres: 198.156, relerr: 17.6331
